objID,ra,dec,Photoz,Photoz_err
587725994647421233,250.08254394,46.71148295,0.178916,0.013438
587725994647421235,250.08349624,46.70917246,0.249386,0.063913
587725994647421234,250.08928264,46.71099497,0.152854,0.026745
587725994647421236,250.08649389,46.71222715,0.305713,0.100643
587725994647421237,250.08379553,46.70733981,0.190496,0.040505
587725994647421238,250.07932029,46.7115354,0.48384,0.144352
587725994647421224,250.08856129,46.72324972,0.217633,0.021942
587725994647421226,250.090082,46.72360127,0.050758,0.02595
587725994647421228,250.06586687,46.70874475,0.239499,0.01163
587725994647421231,250.09175868,46.71278648,0.15204,0.021173
587725994647421232,250.07548221,46.709996,0.219764,0.022072
587725994647421241,250.07924534,46.71481462,0.30757,0.089019
587725994647421257,250.0994953,46.71465794,0.210728,0.024245
587725994647422426,250.07300827,46.71081879,0.239896,0.13118
587725994647355949,250.05432553,46.72171084,0.231157,0.017396
587725994647356715,250.05746883,46.72504135,0.188118,0.109315
587725994647421258,250.09873548,46.71802027,0.245242,0.011811
587725994647421259,250.09675285,46.71612104,0.21836,0.010859
587725994647421271,250.09611761,46.70509199,0.150321,0.031791
587725994647421272,250.0931115,46.70406825,0.247913,0.01611
587725994647421276,250.09156087,46.70151797,0.25974,0.038661
587725994647421514,250.09171628,46.71879093,0.213577,0.0154
587725994647421515,250.0941542,46.71970636,0.16404,0.034763
587725994647421516,250.0916641,46.72013192,0.166325,0.102614
587725994647421525,250.0710851,46.70313419,0.273973,0.052563
587725994647421687,250.06920413,46.71932807,0.173376,0.030386
587725994647421688,250.06998219,46.72086883,0.269453,0.048956
587725994647421832,250.08215416,46.72243479,0.21187,0.018924
587725994647421843,250.07022828,46.71334782,0.217561,0.030837
587725994647421904,250.08614447,46.69983571,0.183575,0.021179
587725994647355618,250.0669326,46.73684948,0.197294,0.0723
587725994647355619,250.0693039,46.73406957,0.36335,0.104499
587725994647355814,250.03913979,46.72583749,0.159083,0.032205
587725994647355818,250.09108761,46.74566912,0.202883,0.010754
587725994647355825,250.04776108,46.72221534,0.295664,0.021126
587725994647355826,250.04403813,46.72296709,0.27031,0.02872
587725994647355827,250.04582749,46.72285848,0.063785,0.031912
587725994647355980,250.05950416,46.7314138,0.204414,0.027578
587725994647356657,250.07455305,46.74405543,0.217284,0.023617
587725994647356675,250.08158683,46.74262139,0.163013,0.019055
587725994647356702,250.03993167,46.71759068,0.219548,0.011269
587725994647420937,250.05908178,46.71805784,0.209934,0.010858
587725994647420938,250.05434733,46.71842122,0.191399,0.036422
587725994647420939,250.05264606,46.7124113,0.223096,0.01319
587725994647420941,250.05649077,46.71911045,0.143865,9.077E-3
587725994647420942,250.05359828,46.71402136,0.180866,0.060379
587725994647420943,250.05523964,46.71669021,0.113586,0.023216
587725994647421223,250.09003064,46.72521175,0.209878,0.013677
587725994647421262,250.05817968,46.69706911,0.085187,0.022113
587725994647421270,250.09854826,46.70278425,0.249919,0.014778
587725994647421273,250.10245666,46.70593558,0.234536,0.016212
587725994647421274,250.10145257,46.70604637,0.219679,0.01965
587725994647421275,250.10358091,46.70511202,0.201923,0.059217
587725994647421281,250.10757792,46.70941094,0.189081,8.809E-3
587725994647421282,250.10908598,46.70718233,0.218109,0.054822
587725994647421285,250.08535084,46.6968291,0.224212,0.019394
587725994647421302,250.08854521,46.69028499,0.175,0.011353
587725994647421489,250.09003849,46.73058357,0.193851,0.019975
587725994647421490,250.09256049,46.73150468,0.196795,0.030035
587725994647421512,250.09907172,46.7221455,0.21,0.012787
587725994647421933,250.10396117,46.70076204,0.205934,0.026623
587725994647421934,250.10227651,46.70054476,0.158977,0.030742
587725994647355782,250.03897218,46.73873771,0.208378,0.062999
587725994647355784,250.0547023,46.74462595,0.241467,0.013413
587725994647355830,250.11620801,46.75231323,0.211617,0.023978
587725994647355932,250.02557938,46.73878795,0.211395,0.012887
587725994647355936,250.06624874,46.7551992,0.215363,0.010732
587725994647355937,250.05732057,46.7474394,0.210531,0.0192
587725994647355942,250.02434886,46.72818565,0.191857,0.038533
587725994647355944,250.03642379,46.72799392,0.214378,0.023403
587725994647356052,250.03717408,46.74610115,0.172306,0.011548
587725994647356056,250.04534926,46.74839998,0.218676,0.066819
587725994647356572,250.05366382,46.75151685,0.158427,0.023114
587725994647356578,250.030993,46.74216324,0.195562,0.01648
587725994647356600,250.08343119,46.75990037,0.077207,0.080208
587725994647356607,250.02231445,46.73093292,0.225491,0.057405
