tile,dither,fiber,fiber_ra,fiber_dec,objID,GroupID,Separation
NE,D1,33,250.089375,46.72380555555556,587725994647421226,,1.8934376257668766
NE,D1,45,250.08216666666667,46.722055555555556,587725994647421832,,1.365592861151055
NE,D1,51,250.09970833333338,46.72208333333334,587725994647421512,,1.5869797822832645
NE,D1,63,250.09229166666668,46.72038888888889,587725994647421516,,1.8040826073903555
NE,D1,77,250.09095833333336,46.71863888888889,587725994647421514,,1.9491116286227397
NE,D1,102,250.07933333333332,46.715138888888895,587725994647421241,1,1.1874004260356092
NE,D1,129,250.11570833333337,46.7135,587725994647421901,,1.2157857505862493
NE,D1,131,250.07929166666668,46.71175,587725994647421238,2,0.7757841022235449
NE,D1,132,250.0822083333333,46.71175,587725994647421233,,1.269064756824345
NE,D1,195,250.0967916666667,46.70483333333333,587725994647421271,,1.9068693522723124
NE,D1,210,250.09812500000004,46.70308333333334,587725994647421270,,1.5004006106566448
NE,D1,222,250.09095833333336,46.70138888888889,587725994647421276,,1.5584813503326005
NE,D1,235,250.08658333333335,46.699749999999995,587725994647421904,,1.1266112296768214
NE,D2,19,250.089375,46.724944444444446,587725994647421223,,1.8825264340327834
NE,D2,33,250.0879166666667,46.72325,587725994647421224,,1.5908551004546314
NE,D2,64,250.0937916666667,46.71977777777778,587725994647421515,,0.9309545120097741
NE,D2,80,250.09816666666666,46.718111111111114,587725994647421258,,1.4414857139588633
NE,D2,94,250.09670833333334,46.71636111111111,587725994647421259,,0.8712124938233315
NE,D2,101,250.11704166666667,46.71641666666667,587725994647421894,,1.8845905933688336
NE,D2,135,250.08950000000002,46.71116666666667,587725994647421234,,0.8184941305547535
NE,D2,156,250.108375,46.70944444444445,587725994647421281,,1.9712973551135682
NE,D2,162,250.08370833333336,46.70772222222222,587725994647421237,,1.393410582104803
NE,D2,183,250.10258333333337,46.706027777777784,587725994647421273,,0.4560221852965609
NE,D2,227,250.104125,46.700833333333335,587725994647421933,3,0.479038153868055
NE,D3,109,250.09962500000003,46.714111111111116,587725994647421257,,1.994444948591508
NE,D3,119,250.08658333333335,46.71233333333333,587725994647421236,,0.4414371441667512
NE,D3,147,250.083625,46.70883333333334,587725994647421235,,1.261553420129331
NE,D3,170,250.108375,46.70719444444445,587725994647421282,,1.7556793165346043
NE,D3,182,250.10120833333335,46.70552777777778,587725994647421274,,1.961880419239066
NE,D3,183,250.10408333333334,46.70547222222223,587725994647421275,,1.7944172428084093
NE,D3,226,250.10258333333337,46.70030555555556,587725994647421934,,1.1469081361272415
NW,D1,21,250.057375,46.72547222222222,587725994647356715,,1.5683277745577748
NW,D1,49,250.054375,46.72208333333334,587725994647355949,,1.3465223392310994
NW,D1,78,250.05445833333334,46.718611111111116,587725994647420938,,0.7364631342815333
NW,D1,93,250.05595833333336,46.71691666666667,587725994647420943,,1.9522325516802954
NW,D1,127,250.07041666666666,46.7135,587725994647421843,,0.718584190510917
NW,D1,158,250.07620833333334,46.710055555555556,587725994647421232,,1.8052035534111086
NW,D1,169,250.06625000000005,46.70836111111112,587725994647421228,,1.6738973096362206
NW,D1,176,250.04420833333336,46.706611111111116,587725994647421208,,1.6624789211377806
NW,D1,214,250.070375,46.70316666666667,587725994647421525,,1.756990610183678
NW,D2,32,250.04562500000003,46.72316666666667,587725994647355827,,1.2168204319795042
NW,D2,69,250.06908333333337,46.719861111111115,587725994647421687,,1.941969164892221
NW,D2,80,250.05875,46.718111111111114,587725994647420937,,0.8410292726483888
NW,D2,116,250.07920833333333,46.71461111111111,587725994647421241,1,0.7383042133226557
NW,D2,143,250.073375,46.711222222222226,587725994647422426,,1.7113791840337076
NW,D2,145,250.07920833333333,46.71125,587725994647421238,2,1.0639576811355238
NW,D3,31,250.0441666666667,46.72269444444445,587725994647355826,,1.0315111624874833
NW,D3,64,250.05587500000001,46.71922222222222,587725994647420941,,1.5721290432174826
NW,D3,73,250.03987500000002,46.71752777777778,587725994647356702,,0.26616201802213296
NW,D3,121,250.05300000000003,46.712361111111115,587725994647420939,,0.8921457618746486
NW,D3,148,250.04712500000005,46.70888888888889,587725994647421207,,1.0846724774971033
NW,D3,193,250.05162500000003,46.70375,587725994647421504,,1.014330751803667
NW,D3,222,250.05158333333335,46.70027777777778,587725994647421519,4,1.534668266910004
SE,D1,9,250.10391666666672,46.700388888888895,587725994647421933,3,1.3478299792014097
SE,D1,106,250.09091666666671,46.68827777777778,587725994647421304,,1.696759532861519
SE,D1,146,250.08075000000002,46.683,587725994647421311,,1.5240826587617742
SE,D1,178,250.08945833333334,46.67958333333333,587725994647421320,,1.5886182398439213
SE,D1,213,250.10695833333332,46.67619444444444,587725994647421343,5,1.8798807396725037
SE,D2,112,250.10683333333336,46.687749999999994,587725994647422008,,1.789310950929319
SE,D2,129,250.11416666666668,46.686,587725994647420986,,1.2503218175814872
SE,D2,132,250.08070833333335,46.68425,587725994647421312,6,1.8000550269807507
SE,D2,171,250.1098333333333,46.68083333333333,587725994647422044,,0.8134083608866688
SE,D2,214,250.10825000000006,46.675666666666665,587725994647421343,5,1.842514139679767
SE,D3,43,250.11854166666666,46.69580555555555,587725994647421546,,1.5623593619569465
SE,D3,76,250.08800000000002,46.690555555555555,587725994647421302,,1.661733554921966
SE,D3,246,250.11858333333336,46.67172222222222,587725994647421015,,1.4703936002991163
SW,D1,36,250.0587916666667,46.69691666666667,587725994647421262,,1.6076186574772575
SW,D1,121,250.05300000000003,46.686527777777776,587725994647421267,,1.7055600611166837
SW,D1,145,250.08066666666667,46.68486111111111,587725994647421312,6,0.7688725366567679
