,tile,dither,fiber,fiber_ra,fiber_dec,objID,GroupID,Separation,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
138,,,,,,5.877292330596444e+17,,,22.311956,0.303156,20.856392,0.036593,19.690409,0.050667000000000004,19.159447,0.021994,18.836212,0.049655,0.21372199999999997,0.021059,,,,,
139,,,,,,5.877292330596447e+17,,,22.327536,0.260263,21.461105,0.051438,20.871712,0.045163,20.564465,0.057516,20.802687,0.225183,0.08394,0.045009,,,,,
140,,,,,,5.877292330596449e+17,,,22.6991,0.7049310000000001,21.87019,0.143062,20.832758,0.086213,20.420579999999998,0.103246,20.15519,0.270557,0.24919699999999997,0.06301699999999999,,,,,
141,,,,,,5.87729233059645e+17,,,22.747885,0.33719299999999996,21.743816,0.059841,21.166532999999998,0.053085,20.871607,0.06788,20.782597,0.19855799999999998,0.118746,0.04945,,,,,
142,,,,,,5.877292330596453e+17,,,22.492235,0.345517,21.651478,0.070894,21.156945999999998,0.068655,20.842319,0.08948099999999999,20.513,0.21667199999999998,0.116852,0.06238200000000001,,,,,
143,,,,,,5.87729233059709e+17,,,23.939170999999998,0.9283379999999999,21.607889,0.062391999999999996,19.9464,0.023015,19.302124,0.021762,18.848748999999998,0.046051999999999996,0.31677,0.030969999999999998,,,,,
144,,,,,,5.87729233059709e+17,,,23.170614,0.67797,21.958128,0.10242899999999999,21.019423,0.066732,20.083948,0.050128,19.78931,0.125815,0.44377,0.13709100000000002,,,,,
145,,,,,,5.877292330597093e+17,,,21.21464,0.139923,19.414509,0.014730000000000002,18.540654999999997,0.010329999999999999,18.221817,0.012223000000000001,18.037138,0.031499,0.18521300000000002,0.038838,,,,,
146,,,,,,5.877292330597094e+17,,,22.250892999999998,0.314183,19.767269,0.018066,18.373272,0.009008024,17.860218,0.009209638000000001,17.483604,0.018959,0.21306,0.010651,,,,,
147,,,,,,5.877292330597097e+17,,,23.024487,0.462611,21.52854,0.055598,20.296127,0.029336,19.816477,0.030889999999999997,19.415483,0.06841900000000001,0.19938599999999998,0.032247000000000005,,,,,
148,,,,,,5.8772923305971e+17,,,21.297138,0.12401300000000001,20.702578,0.032303,20.349199,0.034,20.181931,0.048923,20.333389,0.179325,0.157363,0.030202999999999997,,,,,
149,,,,,,5.877292330597101e+17,,,23.229876,0.596338,21.436207,0.056104999999999995,20.415851999999997,0.034472,19.997126,0.039895,19.642039999999998,0.095775,0.12350799999999999,0.011945,,,,,
150,,,,,,5.877292330597102e+17,,,22.050507,0.238691,21.418802,0.058952,20.132085999999997,0.029107,19.704588,0.033402,19.218044,0.070369,0.297158,0.10007200000000001,,,,,
