objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z
587739380994343060,234.27756336,24.4155592,22.649961,0.453675,20.337372,0.024286,18.973614,0.012757,18.428631,0.011138,18.139814,0.028113
587739380994343061,234.27948144,24.41477683,22.20528,0.346073,20.65259,0.033006,19.495914,0.019746,19.061747,0.018462,18.778692,0.050431
587739380994343063,234.28034861,24.41628851,24.5865,1.217654,21.433195,0.049006,20.038483,0.024248,19.532454,0.021218,19.197857,0.055552
587739380994343074,234.27784737,24.40580349,23.355215,1.761711,21.88162,0.172018,20.72463,0.099993,20.303778,0.096366,20.152214,0.327022
587739380994343123,234.28560923,24.39375976,17.219139,0.012871,16.069002,5.571857E-3,17.584295,0.024822,24.383186,3.348951,15.692266,9.565814E-3
587739380994343124,234.28505827,24.3924542,21.697687,0.988992,19.39159,0.111829,17.305153,0.017232,17.785566,0.029896,18.375605,0.157055
587739380994343236,234.23266122,24.44846045,23.416363,0.881995,20.472887,0.028572,19.094751,0.016354,18.56123,0.015381,18.116816,0.029885
587739380994343328,234.27599668,24.39457041,21.85957,0.264047,19.860674,0.021388,18.429754,0.010685,17.91654,8.958632E-3,17.559814,0.020661
587739380994343336,234.28637154,24.40961982,21.714846,0.292666,19.84831,0.022011,18.379818,0.010695,17.859547,9.595444E-3,17.518557,0.023304
587739380994343422,234.24038148,24.45489393,21.597994,0.155644,20.955975,0.033331,20.161602,0.026247,20.024593,0.030834,19.628796,0.079534
587739380994343445,234.21589169,24.36888396,24.323811,1.38698,21.3046,0.050513,19.946148,0.025748,19.403484,0.022274,19.182585,0.064138
587739380994343461,234.22677316,24.36236881,23.45561,0.89709,21.185003,0.047082,19.858164,0.025725,19.331329,0.021483,18.906652,0.052433
587739380994343550,234.26385697,24.44135203,23.562737,0.72654,21.791943,0.061066,20.545483,0.033821,20.033333,0.030525,19.754412,0.082488
587739380994343794,234.1817748,24.40828013,22.233883,0.40424,21.275089,0.061602,20.675915,0.057659,20.358395,0.063286,20.366329,0.229225
587739380994343853,234.23256119,24.4515902,21.309496,0.283137,21.780958,0.151048,21.069637,0.129636,20.095413,0.07872,19.935684,0.258656
587739380994343912,234.25313895,24.44965055,23.456211,0.761747,21.746008,0.065963,20.507303,0.036277,20.04775,0.033207,19.780914,0.095737
587739380994343956,234.22572271,24.36518069,22.24626,0.345332,21.32995,0.05408,21.048832,0.069376,20.876804,0.080746,20.327488,0.183528
587739380994343973,234.26832272,24.43377381,23.730648,1.252627,21.451208,0.067656,20.296673,0.040378,19.933928,0.042117,19.579008,0.108923
587739380994344065,234.28634089,24.40401272,22.557636,0.388904,21.68198,0.064161,20.43358,0.035188,19.909176,0.030757,19.751881,0.097122
587739380994344078,234.27639173,24.37822412,23.139429,0.813527,21.741262,0.085713,20.233929,0.037126,19.637907,0.031104,19.137012,0.073236
