,tile,dither,fiber,fiber_ra,fiber_dec,objID,GroupID,Separation,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,33.0,250.089375,46.723805555555565,5.877259946474212e+17,,1.8934376257668768,22.307356,0.423675,20.798648999999997,0.048563,20.199966,0.046383,19.940926,0.06311599999999999,19.709831,0.172799,0.050758,0.02595,,,,,
1,NE,D1,45.0,250.08216666666667,46.72205555555556,5.877259946474218e+17,,1.3655928611510548,23.217807999999998,0.51651,21.555695,0.054645000000000006,20.230503,0.028469,19.719364000000002,0.030187000000000002,19.371277,0.071738,0.21186999999999998,0.018924,,,,,
2,NE,D1,51.0,250.09970833333335,46.72208333333334,5.877259946474216e+17,,1.5869797822832643,22.725597,0.43213999999999997,20.547327,0.029521,19.215338,0.015847,18.674677,0.017899,18.371429,0.038727,0.21,0.012787,,,,,
3,NE,D1,63.0,250.09229166666668,46.72038888888889,5.877259946474216e+17,,1.8040826073903555,20.867607,0.078987,20.663578,0.028706,20.578489,0.039895,20.033367000000002,0.041138,20.015175,0.13178800000000002,0.166325,0.10261400000000001,,,,,
4,NE,D1,77.0,250.09095833333336,46.71863888888889,5.877259946474216e+17,,1.94911162862274,23.994608,0.809604,21.365289999999998,0.045370999999999995,19.973909,0.022501,19.433256,0.023075,19.001955,0.049992,0.213577,0.0154,,,,,
5,NE,D1,102.0,250.0793333333333,46.7151388888889,5.877259946474212e+17,1.0,1.1874004260356092,22.878082,0.386232,21.725729,0.062192,20.501745,0.035544,19.852495,0.033287,19.359869,0.069713,0.30756999999999995,0.089019,,,,,
6,NW,D2,116.0,250.07920833333333,46.714611111111104,5.877259946474212e+17,1.0,0.7383042133226557,22.878082,0.386232,21.725729,0.062192,20.501745,0.035544,19.852495,0.033287,19.359869,0.069713,0.30756999999999995,0.089019,,,,,
7,NE,D1,129.0,250.11570833333334,46.7135,5.87725994647422e+17,,1.2157857505862493,23.558712,0.71463,21.987807999999998,0.083136,20.728201000000002,0.045445,20.171955,0.047859,19.806931,0.114882,0.216034,0.020999,,,,,
8,NE,D1,131.0,250.07929166666668,46.71175,5.877259946474212e+17,2.0,0.7757841022235449,22.399628,0.234163,21.994814,0.071878,21.229206,0.061002,20.501047,0.052426,19.519699,0.07032100000000001,0.48383999999999994,0.144352,,,,,
9,NW,D2,145.0,250.07920833333333,46.71125,5.877259946474212e+17,2.0,1.0639576811355238,22.399628,0.234163,21.994814,0.071878,21.229206,0.061002,20.501047,0.052426,19.519699,0.07032100000000001,0.48383999999999994,0.144352,,,,,
10,NE,D1,132.0,250.0822083333333,46.71175,5.877259946474212e+17,,1.269064756824345,20.188602,0.221892,17.772348,0.011855,16.521975,0.006830856,15.942004999999998,0.0070679359999999995,15.561707,0.016216,0.17891600000000002,0.013438,,,,,
11,NE,D1,195.0,250.0967916666667,46.70483333333333,5.877259946474213e+17,,1.9068693522723124,20.498348,0.07585800000000001,19.149760999999998,0.011732,18.315260000000002,0.009002561,17.941998,0.010414,17.719488000000002,0.02622,0.150321,0.031791,,,,,
12,NE,D1,210.0,250.09812500000004,46.70308333333334,5.877259946474213e+17,,1.5004006106566448,21.212034,0.20542,19.091703,0.015197,17.604565,0.007446485,17.063710999999998,0.007701434,16.7019,0.016915,0.249919,0.014778,,,,,
13,NE,D1,222.0,250.09095833333336,46.70138888888889,5.877259946474213e+17,,1.5584813503326005,22.5665,0.320088,21.320051,0.047826,20.064137,0.026395,19.546406,0.027775,19.126356,0.061706,0.25974,0.038661,,,,,
14,NE,D1,235.0,250.08658333333332,46.69975,5.87725994647422e+17,,1.1266112296768214,24.899681,0.893229,21.801159,0.062729,20.486191,0.033010000000000005,20.030233,0.036517,19.553442,0.07762999999999999,0.183575,0.021179,,,,,
15,NE,D2,19.0,250.089375,46.72494444444445,5.877259946474212e+17,,1.8825264340327836,22.204494,0.282395,20.258335,0.024138999999999997,18.928862,0.012891999999999999,18.408957,0.013399000000000001,18.080786,0.030881,0.209878,0.013677000000000002,,,,,
16,NE,D2,33.0,250.08791666666667,46.72325,5.877259946474212e+17,,1.5908551004546314,22.82155,0.449147,20.817131,0.035425,19.477713,0.018521,18.862133,0.017891,18.581947,0.044011,0.217633,0.021942,,,,,
17,NE,D2,64.0,250.09379166666668,46.71977777777778,5.877259946474216e+17,,0.930954512009774,21.777281,0.182864,20.682282999999998,0.030961000000000002,19.700415,0.021279,19.092218,0.021096,18.815642999999998,0.053489,0.16404000000000002,0.034763,,,,,
18,NE,D2,80.0,250.09816666666663,46.718111111111114,5.877259946474213e+17,,1.4414857139588633,22.1134,0.28813,20.067703,0.02247,18.593899,0.010891,18.054638,0.011223,17.735526999999998,0.025731,0.24524200000000002,0.011811,,,,,
19,NE,D2,94.0,250.0967083333333,46.716361111111105,5.877259946474213e+17,,0.8712124938233315,22.713434,0.45631700000000003,20.529413,0.030726,19.147778,0.015619999999999998,18.650029999999997,0.016694999999999998,18.325022,0.039534,0.21836,0.010859,,,,,
20,NE,D2,101.0,250.11704166666667,46.71641666666667,5.87725994647422e+17,,1.8845905933688336,21.498894,0.225061,21.902134,0.133325,20.784079000000002,0.08104,19.747936,0.057179999999999995,19.39348,0.140257,0.510582,0.137272,,,,,
21,NE,D2,135.0,250.0895,46.71116666666667,5.877259946474212e+17,,0.8184941305547535,22.292381,0.416883,20.087034,0.027013,18.871653,0.015888,18.24403,0.015405,17.821728,0.0336,0.152854,0.026744999999999998,,,,,
22,NE,D2,156.0,250.108375,46.70944444444446,5.877259946474213e+17,,1.971297355113568,21.977536999999998,0.2481,19.632322,0.016155000000000003,18.357801000000002,0.009210767,17.858083999999998,0.009672695,17.515751,0.02134,0.189081,0.008809,,,,,
23,NE,D2,162.0,250.08370833333336,46.70772222222222,5.877259946474212e+17,,1.393410582104803,24.647163,0.841592,21.801835999999998,0.05823,20.658403,0.035636,19.912888,0.030094,19.645714,0.074789,0.190496,0.040505,,,,,
24,NE,D2,183.0,250.10258333333337,46.70602777777778,5.877259946474213e+17,,0.4560221852965609,22.898198999999998,0.554595,20.665589999999998,0.035582,19.260538,0.017667,18.676976999999997,0.017748,18.348024,0.041918000000000004,0.23453600000000002,0.016212,,,,,
25,NE,D2,227.0,250.104125,46.70083333333334,5.87725994647422e+17,3.0,0.479038153868055,25.509304,0.7578229999999999,21.843232999999998,0.07008500000000001,20.536488000000002,0.037044,19.995588,0.038667,19.631948,0.091126,0.205934,0.026623,,,,,
