tile,dither,fiber,fiber_ra,fiber_dec,objID,GroupID,Separation
NE,D1,20,260.62437500000004,32.158055555555556,587729233059645103,,0.4929758460482486
NE,D1,45,260.61495833333333,32.15461111111111,587729233059644446,,1.7250392463583846
NE,D1,71,260.64208333333335,32.152944444444444,587729233059645170,,0.8899063495461594
NE,D1,75,260.61725,32.15119444444444,587729233059644672,,1.8175798586762015
NE,D1,98,260.63733333333334,32.149499999999996,587729233059644481,,1.6249672079372741
NE,D1,112,260.636125,32.14780555555556,587729233059645184,,1.58091648906368
NE,D1,233,260.61375,32.132222222222225,587729233059644227,1,1.944521840916236
NE,D1,244,260.63975,32.13227777777778,587729233059645277,2,1.0738539892229566
NE,D2,122,260.6244166666667,32.14555555555555,587729233059644477,,1.2544070645901968
NE,D2,136,260.62320833333337,32.14377777777778,587729233059644478,,1.3067417601235194
NE,D2,142,260.63737499999996,32.14377777777778,587729233059644221,,1.1629677553189
NE,D2,181,260.62679166666663,32.13861111111111,587729233059645209,,1.6933298665336198
NE,D2,212,260.63141666666667,32.13511111111111,587729233059644508,,0.9807990632010408
NE,D3,5,260.623125,32.158722222222224,587729233059645104,,0.2339792948860424
NE,D3,28,260.64329166666664,32.15697222222222,587729233059644469,,0.6459630390743463
NE,D3,41,260.63966666666664,32.15522222222222,587729233059644677,,0.3509316651848057
NE,D3,102,260.612625,32.14658333333333,587729233059643689,,1.4032671192842392
NE,D3,125,260.6326666666667,32.14494444444444,587729233059644208,,0.9450084315847427
NE,D3,144,260.6433333333333,32.14322222222222,587729233059645243,,1.6898711082153068
NE,D3,170,260.6361666666667,32.13975,587729233059644259,,0.2511962156653742
NE,D3,178,260.620875,32.137972222222224,587729233059644230,,1.4590502153859555
NW,D1,188,260.6093333333334,32.13663888888889,587729233059644245,,0.6636668519234304
NW,D1,199,260.60116666666664,32.13494444444444,587729233059645168,,1.1786347334751675
NW,D1,204,260.5787083333334,32.13311111111111,587729233059644462,,1.5777722876601328
NW,D1,223,260.58933333333334,32.13138888888889,587729233059644475,3,0.6926763575973146
NW,D1,241,260.5975833333333,32.129666666666665,587729233059644212,,1.084094252627337
NW,D2,40,260.601125,32.15325,587729233059644130,,1.0049520522665332
NW,D2,115,260.6070833333333,32.14461111111111,587729233059644168,,1.9061013209921454
NW,D2,128,260.60350000000005,32.14297222222222,587729233059644169,,1.2900478042391401
NW,D2,139,260.5952916666667,32.141194444444444,587729233059644461,,1.2359942897851497
NW,D2,147,260.579875,32.13938888888889,587729233059644452,,0.9975788451201849
NW,D2,159,260.6082083333333,32.139472222222224,587729233059644231,,1.8100862701444356
NW,D2,162,260.581125,32.13772222222222,587729233059644453,,1.194928918219198
NW,D2,183,260.5964166666667,32.13602777777778,587729233059644180,,1.1003271354074498
NW,D2,220,260.58116666666666,32.130805555555554,587729233059644676,4,1.2589261429517875
NW,D3,42,260.6070416666667,32.15269444444444,587729233059645096,,1.9246680259947522
NW,D3,49,260.58925,32.15097222222222,587729233059644435,,0.9118033212696177
NW,D3,101,260.60929166666665,32.14586111111111,587729233059643688,,1.89949114522212
NW,D3,138,260.59404166666667,32.14063888888889,587729233059644460,,0.937636390854634
NW,D3,183,260.597625,32.13547222222222,587729233059644181,,1.2878689651768065
SE,D1,1,260.61375,32.132777777777775,587729233059644227,1,1.6574775435699736
SE,D1,12,260.63966666666664,32.13286111111111,587729233059645277,2,1.7589247381404733
SE,D1,189,260.61270833333333,32.110305555555556,587729233059644307,5,1.6926121589764838
SE,D2,34,260.622,32.12872222222222,587729233059645266,,1.9934279364638203
SE,D2,65,260.62670833333334,32.12533333333334,587729233059644520,,0.8403873959919309
SE,D2,90,260.6172916666667,32.121916666666664,587729233059644517,,1.2333447532940456
SE,D2,154,260.6315,32.115027777777776,587729233059644534,6,0.6944036144716309
SE,D2,154,260.6315,32.115027777777776,587729233059644535,6,1.7677780509390375
SE,D2,161,260.61379166666666,32.11325,587729233059645306,7,1.5514524438611832
SE,D2,225,260.62795833333337,32.10638888888889,587729233059710005,,1.1900449817679724
SE,D3,16,260.61491666666666,32.12991666666667,587729233059644233,,1.9593187543072832
SE,D3,44,260.61254166666663,32.126472222222226,587729233059644228,,1.4039387400224344
SE,D3,183,260.6326666666667,32.111000000000004,587729233059708976,,0.3719605978418107
SE,D3,201,260.641,32.10930555555556,587729233059709351,,0.6579404488847461
SE,D3,230,260.64095833333334,32.105916666666666,587729233059709362,,1.6700549230170998
SW,D1,15,260.580875,32.131083333333336,587729233059644676,4,1.1145894511038426
SW,D1,158,260.61020833333333,32.11569444444444,587729233059643744,,1.572159858373985
SW,D1,160,260.58079166666664,32.11394444444445,587729233059644504,,1.9379754633097628
SW,D1,167,260.597375,32.11397222222222,587729233059644282,,1.2475699509666396
SW,D1,213,260.6032916666667,32.10877777777778,587729233059645303,,1.3063797446166832
