,MEM_MATCH_ID,RA_1,DEC_1,BCG_SPEC_Z,SPECID,SURVEY_CODE,RA_2,DEC_2,Z_2
0,33,213.60024185108853,-0.3776437738556696,0.1377273,LTF_10_0608_2323,11,213.60025,-0.37765,0.13782
1,99,139.07315528677307,-0.4015762682731477,0.31796968,133079334641467392,1,139.07315,-0.40155,0.31808000000000003
2,329,132.61572540049485,0.2504435066421876,-1.0,G09_Y1_CS2_327,5,132.61571,0.25043000000000004,0.19608
3,378,220.13341330676081,-1.62418757631147,0.32227212,259182083589537792,1,220.13341,-1.62418,0.32229
4,482,180.97275918229118,1.7834583508627997,0.23674636,G12_Y1_EX2_254,5,180.97275,1.7834599999999998,0.23706999999999998
5,538,175.34728588219548,0.6336342197290254,0.30976847,G12_Y1_AT_330,5,175.34729,0.63363,0.30958
6,647,179.04504805763236,-0.3502284625967392,0.25629744,80442260411383808,1,179.04506999999998,-0.35022,0.25653000000000004
7,776,138.4674303964297,-0.7597207920465097,0.29517785,133079334557581312,1,138.46741,-0.75972,0.29501
8,792,180.99166586564218,1.425763004871469,0.4130284000000001,G12_Y1_EX1_189,5,180.99167,1.4257600000000001,0.41303
9,931,130.5911838725257,1.6406295868822118,0.420088,G09_Y1_BN1_246,5,130.59117,1.64064,0.4204
10,975,140.20708434078804,2.7538617368014613,0.28415337,159820732476424192,1,140.20712,2.75387,0.28418000000000004
11,1069,175.873492459037,-1.7416596029785318,0.106046475,92548344085217280,1,175.87349,-1.74167,0.10605
12,1234,216.6010505073792,-1.4492084524936852,0.45761886,258619103831392256,1,216.60106000000002,-1.4492,0.45764
13,1236,180.43195738656343,-0.1844866106875251,0.16692387,6dFg1201437-001104,6,180.43196,-0.1845,0.16738
14,1418,140.52354740405443,-0.5045557345444858,0.3181277,133642478241710080,1,140.52357,-0.50456,0.31805
15,1449,140.39771489614247,-0.24158476976093102,0.31264105,G09_Y1_IS1_301,5,140.39771000000002,-0.24158000000000002,0.3127
16,1531,181.413597047046,-1.868451466998393,0.38038826,93674608305111040,1,181.41358,-1.86842,0.38043000000000005
17,1683,216.84120729764805,0.945502074407966,0.2908228,86071546514243584,1,216.84121000000002,0.9455600000000001,0.29096
18,1743,139.7092262817801,2.2008911215036435,0.28389713,133360699341537280,1,139.70921,2.2008900000000002,0.28393
19,1754,221.15612741014576,0.23394919701629455,0.30220664,G15_Y1_HS2_279,5,221.15617000000003,0.23394,0.30241
20,1772,185.49079370650986,-1.1342194784667832,0.25901827,81288131596255232,1,185.49078,-1.13424,0.25911
21,1827,219.43003763106617,-0.2534754003921436,0.13747275,86634709576056832,1,219.43002,-0.25349,0.13748
22,1975,129.3423371868622,1.5941407339079507,0.3603348,G09_Y1_AN1_248,5,129.34229,1.59412,0.36077
23,2060,177.26476942495145,1.5017394742677932,0.23242463,144901450617585664,1,177.26476,1.50175,0.23243000000000003
24,2347,131.43540271391652,-0.488040828604675,-1.0,G09_Y2_032_062,5,131.43542,-0.48805,0.15469000000000002
25,2667,180.21081579391992,-1.4654404201177833,0.26692075,93393138009243648,1,180.21084,-1.46545,0.267
26,2672,184.3812729755233,0.3971782031078335,0.37430215,81006758042009600,1,184.38126,0.39723,0.37431
27,2750,180.66552437950597,-1.6385497909333993,-1.0,G12_Y1_FS1_163,5,180.6655,-1.63854,-9.999989999999999
28,2799,177.5850082463716,-0.5931017089021153,0.13622811,80160781106151424,1,177.58507,-0.5931,0.13621
29,2902,137.30739047373905,-0.20560232436955486,0.30849463,132516272511385600,1,137.30742,-0.2056,0.3085
30,2935,182.6061787906244,-0.2446919500563655,0.31506798,81006756565614592,1,182.60615,-0.24466999999999997,0.31504
31,3037,139.34382596189886,1.023625990431656,0.35887048,133079336629567488,1,139.34383,1.0236299999999998,0.35891
32,3226,178.26066467851456,1.0405482277524738,0.4032458,80160782221836288,1,178.2607,1.04055,0.40326999999999996
33,3301,221.03775192293224,0.17848090112325474,0.29648309999999994,86916181197324288,1,221.03777000000002,0.17845999999999998,0.29662
34,3308,133.6525328131628,0.6425754480162837,0.10696268,132234729838608384,1,133.65255,0.64257,0.10699000000000002
35,3488,140.49559787456528,-0.39262663111919416,-1.0,G09_Y1_IS1_038,5,140.49558000000002,-0.39263000000000003,0.31668
36,3509,213.5259973157353,1.8702241401008528,0.25207728,150249476114612224,1,213.52598999999998,1.8702299999999998,0.25209000000000004
37,3539,213.8082824688156,-1.617703429225183,0.14959097,258056042905075712,1,213.80829,-1.61772,0.1496
38,3599,217.6753937180354,0.8175109481684933,0.32203484,150812447056330752,1,217.67545,0.8174600000000001,0.32187
39,3654,211.84715298071708,1.3717793905082567,0.45813563,149967996750659584,1,211.84716,1.3717700000000002,0.45813999999999994
40,3673,212.0259882384982,-0.4759613520910809,-1.0,G15_Y3_007_092,5,212.02599999999998,-0.47595,-9.999989999999999
41,3851,175.6835293011902,0.4681220371157562,-1.0,G12_Y1_BND1_239,5,175.68346,0.46808999999999995,0.30619
42,3894,185.67774026626947,-1.5115470493651626,0.29024583,93955852389580800,1,185.67775,-1.51157,0.29046
43,3908,222.461241963543,0.9268200542019236,0.4207584,86916181956493312,1,222.46122000000003,0.9268200000000001,0.42065
44,4210,136.04559703405175,0.6144534626861464,-1.0,G09_Y1_FN1_120,5,136.04558,0.61445,0.3113
45,4237,183.890511475128,1.7462052851574614,0.40301993,146028587978326016,1,183.89051,1.7462,0.40296
46,4392,184.12621455837106,0.6903969072371337,0.30767396,81006757983289344,1,184.12623,0.6904100000000001,0.30761
47,4503,185.3990027317984,1.6684111006016382,0.41232023,146310067749126144,1,185.399,1.6684299999999999,0.41233000000000003
48,4522,136.47116410511526,-0.04652134418268306,-1.0,G09_Y1_FS1_332,5,136.47113000000002,-0.04653,0.30437
49,4575,212.73263210981273,1.6334116650932315,0.17787772,150249476387241984,1,212.73262999999997,1.6334,0.17792
50,4592,213.71904415379845,0.1962086954996674,0.12393813599999999,85508604651634688,1,213.71908,0.1962,0.12397000000000001
51,4657,217.24572664277764,1.7332968043308326,0.31487602,150812447500926976,1,217.24572999999998,1.7332900000000002,0.31496999999999997
52,4690,131.63049463225022,1.8580486574393056,0.3855113,131671729087971328,1,131.63048999999998,1.8580599999999998,0.38537
