,MEM_MATCH_ID_2,RA_1a,DEC_1a,Z_1a,ZSPEC,SPECID_2,RA_2a,DEC_2a,Z_2a
0,33,213.49082285543383,-0.29971556503714597,0.13761522,-1.0,G15_Y2_022_054,213.49083,-0.29971,-9.999989999999999
1,33,213.53738340107188,-0.23644383915658398,0.13761522,-1.0,G15_Y1_BS1_003,213.53732999999997,-0.23646,0.14025
2,33,213.55300117357535,-0.22666613677788194,0.13761522,-1.0,G15_Y1_BS1_372,213.55296,-0.2267,0.14025
3,33,213.53374613471888,-0.26711669862133675,0.13761522,-1.0,MGC58501,213.53371,-0.26711,0.14143
4,33,213.54920682154332,-0.25250984711119295,0.13761522,-1.0,G15_Y1_BS1_397,213.54917000000003,-0.25253000000000003,0.13944
5,33,213.58000580478145,-0.2111734836049593,0.13761522,0.14324333,85508603619835904,213.57998999999998,-0.21122,0.14328
6,33,213.53700115851143,-0.27401940661797003,0.13761522,0.13980626,85790053074206720,213.537,-0.27405999999999997,0.13987
7,33,213.53728803518544,-0.275775977688352,0.13761522,-1.0,G15_Y3_016_005,213.53728999999998,-0.27581,0.14146
8,33,213.46539548955047,-0.272415503570258,0.13761522,-1.0,G15_Y1_BS2_226,213.46537,-0.27241,0.14027
9,33,213.4765309131181,-0.263515930970167,0.13761522,-1.0,MGC58499,213.47648999999998,-0.26355,0.14177
10,33,213.49134457498414,-0.2737127697269773,0.13761522,-1.0,G15_Y1_BS1_151,213.49132999999998,-0.27375,0.14038
11,33,213.5335927142224,-0.2811265637292198,0.13761522,-1.0,MGC58524,213.53351,-0.28113,0.14084000000000002
12,33,213.48302581562228,-0.2582945223185271,0.13761522,-1.0,G15_Y3_016_002,213.48304,-0.25832,0.14714000000000002
13,33,213.42532788810072,-0.35038014542317664,0.13761522,0.14034319,85508603825356800,213.42532000000003,-0.35039000000000003,0.14035999999999998
14,33,213.47088364564377,-0.37213494517536505,0.13761522,-1.0,G15_Y1_BS1_199,213.47082999999998,-0.37213,0.13987
15,33,213.52453647016904,-0.33148619714661026,0.13761522,-1.0,G15_Y1_BS1_177,213.52454,-0.33148,0.13724
