,MEM_MATCH_ID_2,Z,RA,DEC,ZSPEC
0,33,0.13761522,213.49082285543383,-0.29971556503714597,-1.0
1,33,0.13761522,213.53738340107188,-0.23644383915658398,-1.0
2,33,0.13761522,213.55300117357535,-0.22666613677788194,-1.0
3,33,0.13761522,213.53374613471888,-0.26711669862133675,-1.0
4,33,0.13761522,213.54920682154332,-0.25250984711119295,-1.0
5,33,0.13761522,213.58000580478145,-0.2111734836049593,0.14324333
6,33,0.13761522,213.53700115851143,-0.27401940661797003,0.13980626
7,33,0.13761522,213.53728803518544,-0.275775977688352,-1.0
8,33,0.13761522,213.53716675225118,-0.26901751971678434,-1.0
9,33,0.13761522,213.46539548955047,-0.272415503570258,-1.0
10,33,0.13761522,213.4765309131181,-0.263515930970167,-1.0
11,33,0.13761522,213.49134457498414,-0.2737127697269773,-1.0
12,33,0.13761522,213.5335927142224,-0.2811265637292198,-1.0
13,33,0.13761522,213.48302581562228,-0.2582945223185271,-1.0
14,33,0.13761522,213.42532788810072,-0.35038014542317664,0.14034319
15,33,0.13761522,213.47088364564377,-0.37213494517536505,-1.0
16,33,0.13761522,213.52453647016904,-0.33148619714661026,-1.0
17,33,0.13761522,213.51582065319093,-0.3672441680041261,-1.0
18,33,0.13761522,213.52742669711316,-0.30143925803889154,-1.0
19,33,0.13761522,213.5359882950888,-0.3016709841675572,-1.0
20,33,0.13761522,213.60024185108853,-0.3776437738556696,0.1377273
21,33,0.13761522,213.60218831483127,-0.3774152706782225,0.13940164
22,33,0.13761522,213.60635793716432,-0.37673409306187183,-1.0
23,33,0.13761522,213.59346322155548,-0.3752364418009165,-1.0
24,33,0.13761522,213.60544255181446,-0.3582180798951154,-1.0
25,33,0.13761522,213.6112816913184,-0.3629199588871153,-1.0
26,33,0.13761522,213.62167519546242,-0.3747404024268475,0.13609557
27,33,0.13761522,213.6206532868541,-0.3750919128095381,-1.0
28,33,0.13761522,213.6263364980577,-0.374356770328406,0.13723347
29,33,0.13761522,213.6149641872955,-0.3792678150810349,-1.0
30,33,0.13761522,213.5751683336552,-0.37097542507790415,-1.0
31,33,0.13761522,213.60682531575955,-0.3205429099163917,-1.0
32,33,0.13761522,213.60594746555756,-0.3200125187308123,-1.0
33,33,0.13761522,213.618333099242,-0.3300622402779632,0.14067295
34,33,0.13761522,213.6116410710249,-0.35653492054077546,-1.0
35,33,0.13761522,213.6212112146885,-0.3494787560834389,-1.0
36,33,0.13761522,213.54072686093917,-0.2779184300331197,-1.0
37,33,0.13761522,213.55043728677262,-0.2691871751702961,-1.0
38,33,0.13761522,213.60558059292583,-0.2018591099152534,-1.0
39,33,0.13761522,213.59805878124803,-0.2192568575625968,0.14065365
40,33,0.13761522,213.5500391821272,-0.26499736450793443,-1.0
41,33,0.13761522,213.5670575097104,-0.2613683903834623,-1.0
42,33,0.13761522,213.604336514169,-0.27501625467493473,-1.0
43,33,0.13761522,213.5560926983285,-0.3668699039972685,-1.0
44,33,0.13761522,213.56773057595024,-0.3512503311937278,0.13939755
45,33,0.13761522,213.57521599156783,-0.3418691488975213,0.13833296
46,33,0.13761522,213.57606656549407,-0.34812225125360274,-1.0
47,33,0.13761522,213.5660546724536,-0.30172460665903544,-1.0
48,33,0.13761522,213.57822501051564,-0.3047703610147097,-1.0
49,33,0.13761522,213.58773488452078,-0.3038470738370745,0.13633609
50,33,0.13761522,213.6146636130498,-0.2907553259696977,-1.0
51,33,0.13761522,213.59308626309254,-0.323383673124742,-1.0
52,33,0.13761522,213.74618472761418,-0.3674062413038861,-1.0
53,33,0.13761522,213.76971139221573,-0.3498993893492648,-1.0
54,33,0.13761522,213.7631691870084,-0.3785937321691281,0.14288495
55,33,0.13761522,213.76512833800618,-0.3754489344887504,-1.0
56,33,0.13761522,213.7703250379016,-0.3596614459495824,-1.0
57,33,0.13761522,213.76855304800802,-0.3724692064324301,-1.0
58,33,0.13761522,213.69771342202972,-0.31297957488001393,0.13824691
59,33,0.13761522,213.7153960655596,-0.293200944775665,0.14637972
60,33,0.13761522,213.7120101731833,-0.2964011865058472,-1.0
61,33,0.13761522,213.69532346204758,-0.3218235792131341,0.14038989999999998
62,33,0.13761522,213.7205741911391,-0.3155350740919292,0.13999979999999998
63,33,0.13761522,213.70447639567416,-0.3164049769360342,-1.0
64,33,0.13761522,213.71560664926452,-0.3679393160796026,0.13957185
65,33,0.13761522,213.72880910021144,-0.30974386545443344,-1.0
66,33,0.13761522,213.7343551536951,-0.3072708538226689,-1.0
67,33,0.13761522,213.72763875478887,-0.3295704906868961,0.14016724
68,33,0.13761522,213.72587421054516,-0.3338130287478082,-1.0
69,33,0.13761522,213.7405368970737,-0.34961860937717554,0.13887596
70,33,0.13761522,213.73471545079082,-0.3590935115308705,0.13805452
71,33,0.13761522,213.73467426490052,-0.3562921669280265,-1.0
72,33,0.13761522,213.7351345627473,-0.3655210799527751,0.1375933
73,33,0.13761522,213.74956678388503,-0.3206876863668161,-1.0
74,33,0.13761522,213.75001656394767,-0.3539145146155053,-1.0
