,tile,dither,fiber,ra,dec,redshift,seperation,LOSV
2,NE,D1,207.0,191.110242200908,16.800472741002398,0.23758,0.08529890208737685,544.075477275517
3,NE,D2,161.0,191.104119709073,16.8052247820813,0.23655,0.11627395847009829,294.7741006036293
6,NW,D1,17.0,191.09999856811797,16.7977935111008,0.23471,0.06626701540236464,-150.5798150044037
7,NW,D1,70.0,191.11902375145002,16.7926822931779,0.23766,0.1898356600669362,563.4386909976045
8,NW,D3,50.0,191.107777355205,16.7931682950557,0.23322,0.05867932108421663,-511.21967057829625
11,SW,D1,29.0,191.105181432801,16.7956955478267,0.23844,0.013388980295045283,752.230024787966
