tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec
NE,D1,14,203.862413016,41.0267501389,1237662306722447743,203.862518085809,41.0267223674947
NE,D1,111,203.850538474,41.0146945833,1237662306722448711,203.850738999096,41.0150458671643
NE,D1,154,203.849288671,41.0095279167,1237662306722447933,203.849391399459,41.0092206567545
NE,D1,242,203.851955731,40.9991668056,1237662306722448751,203.852381397883,40.9993557797082
NE,D2,6,203.839996373,41.0261390278,1237662306722447738,203.840739962648,41.0261547815773
NE,D2,14,203.861079704,41.0261945833,1237662306722447744,203.860970024052,41.0258526539647
NE,D2,63,203.837246632,41.0193056944,1237662306722447921,203.83749173723,41.0190277611873
NE,D3,22,203.845246459,41.02386125,1237662306722447930,203.845332755196,41.0235019062943
NE,D3,25,203.853163126,41.02386125,1237662306722447932,203.852790575995,41.0239487162925
NE,D3,73,203.82674672,41.0170001389,1237662306722448630,203.826864239874,41.0168336025875
NE,D3,106,203.83737185,41.0135834722,1237662306722447501,203.837323678464,41.0139435091428
NE,D3,147,203.830705383,41.0083334722,1237662306722447511,203.83058890327,41.0088414911176
NE,D3,185,203.85458051,41.0049723611,1237662306722448757,203.854125163455,41.0050188929098
NE,D3,206,203.83337231,41.0014723611,1237662306722447498,203.833732493514,41.001144840024
NE,D3,210,203.843872311,41.0014445833,1237662306722447509,203.843869106785,41.0013897942984
NW,D1,67,203.813579943,41.0199168056,1237662306722448566,203.81388657859,41.019410523572
NW,D1,127,203.818871872,41.0130001389,1237662306722447892,203.818270411953,41.0131479015817
NW,D1,158,203.824122003,41.0095556944,1237662306722447907,203.823517803421,41.009282871406
NW,D1,167,203.809705402,41.0078334722,1237662306722448568,203.810004053634,41.0082590214614
NW,D2,27,203.821538103,41.0244723611,1237662306722448596,203.821736927633,41.0242386134872
NW,D2,63,203.801621631,41.0193334722,1237662306722447713,203.802025005665,41.0196037809877
NW,D2,73,203.789788365,41.0175834722,1237662306722447698,203.790541138824,41.0176386143192
NW,D2,165,203.803080425,41.0072223611,1237662306722447867,203.803036231045,41.0069907337802
NW,D2,171,203.818955423,41.0072779167,1237662306722447909,203.818476006806,41.0070326701057
NW,D2,173,203.824247094,41.0071668056,1237662306722447906,203.824632667205,41.0075451010293
NW,D2,182,203.809747155,41.0055556944,1237662306722448570,203.809667060525,41.0050390715109
NW,D2,220,203.795205688,41.0003056944,1237662306722448009,203.795381911144,41.0008532650209
NW,D2,239,203.806955751,40.9986390278,1237662306722448565,203.806595167384,40.9984954944712
NW,D3,20,203.804371459,41.02386125,1237662306722447474,203.803913017433,41.02349468626
NW,D3,124,203.810913583,41.0118334722,1237662306722448577,203.811047260845,41.0123589221387
NW,D3,142,203.82024698,41.0101668056,1237662306722447905,203.82075527987,41.0098755173313
NW,D3,228,203.817622373,40.9998056944,1237662306722448615,203.818167033945,41.000091253386
SE,D1,27,203.858497439,40.9980834722,1237662306722448789,203.857903414307,40.9977918141132
SE,D1,46,203.831997573,40.9945556944,1237662306722447502,203.832415330958,40.9949587399459
SE,D1,86,203.8611227,40.9911945833,1237662306722448777,203.86044353368,40.9911946397938
SE,D1,123,203.843872895,40.9860556944,1237662306722447936,203.844117963206,40.9863953043486
SE,D1,129,203.859831229,40.9860556944,1237662306722447947,203.859395481138,40.9856962070323
SE,D1,169,203.850706425,40.9808890278,1237662306722448768,203.850741891727,40.9811131089035
SE,D1,191,203.832081557,40.9773890278,1237662306722448082,203.831845400031,40.9771671567827
SE,D1,197,203.847956557,40.9773890278,1237662306722448759,203.847424134384,40.9770167087249
SE,D1,237,203.838748418,40.9722779167,1237662306722448717,203.839030004167,40.9719741151012
SE,D2,164,203.836081449,40.9802501389,1237662306722448083,203.835835909737,40.9801809702422
SE,D2,234,203.829373442,40.9716390278,1237662306722447925,203.828861527209,40.9715816951492
SE,D3,157,203.857164735,40.9815001389,1237662306722447748,203.857737527967,40.9815190039336
SE,D3,171,203.855914801,40.9797501389,1237662306722447747,203.855551949436,40.9802447227533
SE,D3,198,203.850623266,40.9762779167,1237662306722448775,203.850797018059,40.9764543112324
SW,D1,41,203.821455838,40.9963334722,1237662306722447507,203.822064629927,40.9965014900446
SW,D1,114,203.822831165,40.9877223611,1237662306722449158,203.823038157908,40.9876535287864
SW,D1,224,203.806998356,40.9739168056,1237662306722448611,203.807123648088,40.9736812817194
SW,D1,227,203.815040021,40.9739445833,1237662306722447912,203.81462209628,40.9742399340177
SW,D1,232,203.82816502,40.9739723611,1237662306722447924,203.828815259425,40.9740967660837
SW,D1,245,203.82420675,40.9723056944,1237662306722447923,203.824300323268,40.9719506172775
SW,D1,246,203.826915082,40.9723334722,1237662306722447926,203.827207975587,40.9723421732676
SW,D2,24,203.813497459,40.9975556944,1237662306722447900,203.81367819315,40.9976466737563
SW,D2,29,203.826789126,40.9975279167,1237662306722447506,203.826629761326,40.9972396415128
SW,D2,39,203.814955856,40.99586125,1237662306722447898,203.81474676821,40.9955178244376
SW,D2,53,203.813664258,40.9940556944,1237662306722447897,203.813380117488,40.9941394755198
SW,D2,59,203.791080989,40.99236125,1237662306722447852,203.791074862107,40.9924506437553
SW,D2,65,203.806997657,40.9923334722,1237662306722447885,203.807190197894,40.9922066837289
SW,D2,86,203.824206055,40.9906390278,1237662306722447508,203.823905585736,40.9903479467566
SW,D2,90,203.796414453,40.9889168056,1237662306722448533,203.796244545388,40.9888330302614
SW,D2,181,203.807039844,40.97861125,1237662306722448592,203.806966924198,40.9791324502066
SW,D3,26,203.820205813,40.9970001389,1237662306722447503,203.819849972736,40.9968117961875
SW,D3,37,203.810955879,40.9952779167,1237662306722447899,203.810429257337,40.9954171134849
SW,D3,65,203.808331011,40.9917779167,1237662306722447884,203.808101133309,40.9912699606812
SW,D3,73,203.791122742,40.9900834722,1237662306722447710,203.791677567293,40.9898412111696
SW,D3,92,203.803039475,40.9883334722,1237662306722448572,203.803144627573,40.9880191612666
SW,D3,179,203.803081533,40.9780279167,1237662306722448584,203.802774171805,40.9782038866733
