,tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,1,34.0,250.089578112,46.723333472200004,1.2376517158723261e+18,250.090073125554,46.7236332447791,23.31045,0.9291064,20.87146,0.05417898,20.11981,0.046079400000000006,20.064020000000003,0.07245024,21.29786,0.7320758,0.21032800000000001,0.120209,,,,,
1,NE,1,110.0,250.09991188400002,46.7147501389,1.237651715872326e+18,250.09949688000802,46.7146562807402,21.006529999999998,0.11308339999999999,19.068360000000002,0.01198127,17.810679999999998,0.007088206,17.36713,0.00749601,17.10221,0.01741819,0.23634000000000002,0.019343,7.059519219444224e+17,250.09951,46.714652,0.2338521,3.60037e-05
2,NE,1,133.0,250.082412057,46.71136125,1.237651715872326e+18,250.08255297855598,46.711474890963295,19.91712,0.1449456,18.07225,0.01426637,16.612379999999998,0.006952376999999999,16.09929,0.007294642,15.85031,0.019318099999999998,0.24382600000000001,0.016468,,,,,
3,NE,1,156.0,250.10712048099998,46.7095834722,1.237651715872326e+18,250.107578843835,46.7094088734855,21.99762,0.2274429,19.64635,0.01620293,18.35621,0.009224889,17.85547,0.009388782,17.5116,0.02117314,0.196012,0.01288,,,,,
4,NE,1,183.0,250.101328988,46.706166805600006,1.237651715872326e+18,250.101469449101,46.706055076717796,22.451220000000003,0.3123876,20.68235,0.03302042,19.332420000000003,0.0174189,18.85641,0.018188299999999998,18.6924,0.05101906,0.265936,0.030733,,,,,
5,NE,1,211.0,250.098454168,46.7026390278,1.237651715872326e+18,250.098548745845,46.7027823471047,21.15597,0.174369,19.1248,0.01534965,17.624760000000002,0.007506924,17.08353,0.007520885,16.7281,0.01697693,0.253217,0.013671,6.785962118409093e+18,250.09855,46.702837,0.2292574,3.388055e-05
6,NE,2,32.0,250.08224480799998,46.722750138900004,1.2376517158723264e+18,250.082143739754,46.7224299469074,24.62211,0.8482481,21.66735,0.057582900000000006,20.30601,0.029538299999999997,19.7857,0.02970512,19.44002,0.07329942,0.230753,0.043162,,,,,
7,NE,2,65.0,250.093953315,46.71936125,1.2376517158723264e+18,250.094154854621,46.719704080517104,21.9045,0.1824179,20.74739,0.03204558,19.72952,0.02159432,19.11538,0.02045037,18.86359,0.05465678,0.29070999999999997,0.05469500000000001,,,,,
8,NE,2,81.0,250.09832839999999,46.7176945833,1.237651715872326e+18,250.098736588683,46.7180185553733,22.18946,0.2722011,20.09649,0.022504800000000002,18.61591,0.01096622,18.074289999999998,0.01090255,17.76127,0.02574906,0.245704,0.011714,,,,,
9,NE,2,95.0,250.09682849200001,46.715889027799996,1.237651715872326e+18,250.09674800948602,46.7161235643341,23.31837,0.5947058000000001,20.7044,0.03193583,19.32081,0.01653319,18.81747,0.01680947,18.50389,0.04091702,0.21707100000000001,0.014274,,,,,
10,NE,2,116.0,250.115870245,46.7141945833,1.2376517158723267e+18,250.115728722733,46.713834786037395,23.77242,0.726939,21.99704,0.08304269,20.725620000000003,0.04536215,20.17534,0.04555227,19.82355,0.1151396,0.20889699999999997,0.018727,,,,,
11,NE,2,122.0,250.09107866099998,46.7125834722,1.237651715872326e+18,250.09174478463402,46.712788100352604,22.46217,0.24848979999999996,20.25843,0.02069034,18.83715,0.01077314,18.30499,0.01050016,17.960420000000003,0.02291251,0.228215,0.011549,,,,,
12,NE,2,136.0,250.08962041799998,46.710805694399994,1.237651715872326e+18,250.08928391495098,46.710998332405396,22.54738,0.3794852,20.51224,0.03233125,19.10849,0.01632265,18.56227,0.01620943,18.19172,0.03786865,0.22245,0.013119,,,,,
13,NE,2,195.0,250.092579106,46.70386125,1.237651715872326e+18,250.093112327917,46.7040663755562,23.604329999999997,0.6737093000000001,20.72946,0.03085386,19.20513,0.01439151,18.638720000000003,0.01397358,18.28664,0.03209685,0.274658,0.032135000000000004,,,,,
14,NE,3,37.0,250.09836983099999,46.7223056944,1.2376517158723261e+18,250.09907269681702,46.7221434827114,22.80767,0.4129383,20.5573,0.02934142,19.22289,0.01568432,18.67964,0.01555068,18.376170000000002,0.03838938,0.211119,0.012884999999999999,,,,,
15,NE,3,120.0,250.08666203,46.7118890278,1.237651715872326e+18,250.086480691133,46.712211597751896,22.35914,1.617531,19.198929999999997,0.04368402,17.82145,0.02168186,17.260289999999998,0.02218325,17.21195,0.0758953,0.403765,0.100007,,,,,
16,NE,3,181.0,250.09549571,46.7050834722,1.237651715872326e+18,250.096116045341,46.7050911439613,20.64489,0.07452701,19.22334,0.01201704,18.3904,0.009303419,18.0218,0.01042618,17.809829999999998,0.02709083,0.09008200000000001,0.033672,,,,,
17,NE,3,184.0,250.10420404200002,46.70511125,1.237651715872326e+18,250.10358921831298,46.70510869970511,22.68437,0.5208469,20.50355,0.03709512,19.09086,0.01833447,18.61455,0.01948866,18.35424,0.05208924,0.21956199999999998,0.026463999999999998,,,,,
18,NW,1,32.0,250.044328113,46.7233056944,1.2376517158722606e+18,250.044036054754,46.722961209813995,22.56246,0.35238309999999995,20.69116,0.03405321,19.181739999999998,0.01590186,18.69061,0.01624179,18.292070000000002,0.03679319,0.24491,0.01316,,,,,
19,NW,1,50.0,250.054619867,46.72161125,1.2376517158722606e+18,250.05432575754298,46.721706839182794,23.1758,0.5653796999999999,20.769579999999998,0.03406117,19.3663,0.01729028,18.85091,0.01739572,18.62504,0.045926,0.212633,0.016368,,,,,
20,NW,1,79.0,250.054661705,46.718250138900004,1.237651715872326e+18,250.054345528726,46.7184209495305,20.48698,0.05852578,19.71629,0.01519862,19.11794,0.01376558,18.80784,0.01640331,18.71487,0.04914994,0.20014200000000001,0.029262,,,,,
21,NW,1,81.0,250.060453372,46.718250138900004,1.237651715872326e+18,250.060719250786,46.7179177815648,24.38213,0.8283988000000001,21.88513,0.06915224,20.48732,0.03455358,19.92621,0.03350303,19.5099,0.07718021,0.235404,0.039341,,,,,
22,NW,1,128.0,250.070661967,46.71311125,1.2376517158723264e+18,250.07022839313598,46.7133459381561,23.14186,0.4688433,21.66039,0.06320382,20.3068,0.03235758,19.77639,0.03271233,19.50238,0.08644713,0.256447,0.034768,,,,,
23,NW,1,215.0,250.07066249599998,46.7027501389,1.2376517158723264e+18,250.071084592406,46.703132267774,21.628989999999998,0.1690526,20.51056,0.03056263,19.20835,0.01667746,18.72092,0.0174403,18.34516,0.04137174,0.30839,0.05957899999999999,,,,,
