,objID,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,1237665102219247901,21.05174,0.2027925,18.86245,0.01387591,17.35691,0.006730056,16.80572,0.005917266,16.42493,0.01350852,0.243164,0.011743,2.437690462019021e+18,234.23439,24.408777,0.226277,4.083399e-05
1,1237665102219247902,22.958289999999998,0.5545791,20.92344,0.03960236,19.5394,0.01976982,18.94295,0.01603105,18.60241,0.04217286,0.224442,0.020562,,,,,
2,1237665102219248041,23.35115,0.6702340999999999,20.8511,0.03408841,19.42673,0.01679286,18.88995,0.01433579,18.56916,0.03716754,0.224636,0.015097999999999999,,,,,
3,1237665102219248209,21.63481,0.19006420000000002,20.91336,0.04052476,20.34742,0.03817504,20.21333,0.04465886,20.4543,0.2113888,0.141625,0.074019,,,,,
4,1237665102219247927,22.73123,0.3338055,21.475579999999997,0.04685107,20.05651,0.02288427,19.54949,0.019648099999999998,19.183510000000002,0.05045351,0.300363,0.051841,,,,,
5,1237665102219248051,22.35515,0.31695009999999996,21.15611,0.04474138,19.66817,0.02056717,19.15835,0.0178112,18.86071,0.04840853,0.321946,0.053712,,,,,
6,1237665102219248054,23.100620000000003,1.3035430000000001,20.82156,0.06901944,20.11199,0.05920806,19.90622,0.07002768,21.74096,1.265385,0.224156,0.11063599999999998,,,,,
7,1237665102219247924,21.84356,0.38004240000000006,19.20794,0.01673266,17.697470000000003,0.007943643,17.154020000000003,0.006992181,16.80884,0.01674425,0.24543800000000002,0.015255000000000001,2.4376918364085555e+18,234.24462000000003,24.395965,0.22439989999999999,4.3984529999999994e-05
8,1237665102219247925,23.80772,0.8650817,20.69934,0.02945436,19.23749,0.01439957,18.70733,0.01246459,18.40837,0.03162208,0.23426799999999998,0.016522,,,,,
9,1237665102219247926,22.5447,0.4085145,20.86654,0.03906701,19.35285,0.01777844,18.81567,0.0152656,18.450210000000002,0.03854578,0.251046,0.021342,,,,,
10,1237665102219248036,22.02749,0.2828991,20.34895,0.02801009,18.89797,0.01351088,18.36186,0.01167693,17.94576,0.02773125,0.23554699999999998,0.021738999999999998,,,,,
