objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z
587730847964070963,319.68121145,0.56846497,23.371031,1.06897,21.920473,0.124048,20.526276,0.051858,20.017433,0.055687,19.71167,0.147287
587730847964070980,319.68553594,0.58477639,24.982204,1.350268,21.932743,0.09592,20.522058,0.039767,19.968678,0.040629,19.503159,0.091218
587730847964071002,319.69423956,0.58527106,25.652269,0.932537,21.821524,0.085292,20.602993,0.041715,19.91353,0.038236,19.750574,0.114718
587730847964071004,319.69531504,0.58971201,23.248259,0.898919,21.790096,0.101934,21.246477,0.090885,21.403244,0.176572,21.258345,0.510418
587730847964071053,319.71126376,0.53353174,23.663275,0.992662,21.920229,0.095875,20.53826,0.040677,19.977114,0.041324,19.745337,0.11451
587730847964071072,319.71550951,0.53230416,21.027771,0.206935,19.812891,0.031001,19.28607,0.02696,18.944727,0.033904,18.679258,0.088047
587730847964071076,319.71757866,0.58237541,22.297712,0.419495,21.025698,0.055388,20.265829,0.040043,19.789537,0.046253,19.571558,0.126341
587730847964071099,319.72172605,0.53927767,23.123091,0.632007,21.766203,0.079451,20.358013,0.033123,19.732632,0.031719,19.268869,0.07052
587730847964071100,319.72160615,0.57946191,24.767107,1.800142,21.924419,0.125392,20.551615,0.051859,19.998306,0.052769,19.619629,0.130095
587730847964071139,319.73265605,0.53897345,21.996214,0.279549,21.563181,0.078899,20.732792,0.052404,20.30637,0.059564,19.894587,0.143874
587730847964071144,319.73433369,0.55104263,25.043316,1.205648,21.711678,0.07367,20.325428,0.031478,19.806591,0.032847,19.334698,0.072385
587730847964071160,319.73954407,0.55225175,24.574976,1.649338,21.824842,0.103773,20.47098,0.04466,19.974236,0.047908,19.603193,0.126884
587730847964005124,319.66068788,0.5474492,20.867989,0.156575,19.889639,0.029141,18.931238,0.01932,18.525488,0.021638,18.140274,0.049802
587730847964005130,319.66868355,0.53185897,22.014212,0.269278,20.723185,0.036425,19.535147,0.019666,19.052677,0.022328,18.588366,0.043723
587730847964005608,319.66036342,0.55173373,23.429699,0.836165,21.577656,0.070417,20.25721,0.031847,19.677893,0.031497,19.415993,0.085105
587730847964005616,319.66412871,0.56144765,22.2603,0.340963,21.123575,0.051922,20.67676,0.049274,20.362,0.061138,19.922155,0.139923
587730847964005629,319.66632884,0.54100887,22.293774,0.568108,21.893833,0.166923,20.927931,0.096113,20.672966,0.128829,20.624199,0.433163
587730847964005635,319.66763158,0.5785253,21.686577,0.305179,21.339663,0.090119,20.637566,0.075429,20.357103,0.089277,20.314749,0.320634
587730847964005641,319.66882035,0.58692262,23.092791,0.707283,21.96677,0.104664,20.406347,0.038748,19.879328,0.040675,19.424917,0.091931
587730847964070308,319.67847806,0.53273961,22.20714,0.35697,21.815434,0.103587,21.049084,0.073634,20.835308,0.098395,20.463285,0.248214
587730847964070334,319.69387135,0.60692771,21.024633,0.125681,19.790884,0.018828,19.04944,0.013939,18.604753,0.015004,18.328657,0.03751
587730847964070363,319.70451408,0.51625648,22.258245,0.486661,20.865463,0.059366,20.519262,0.060246,20.456978,0.096438,20.059471,0.233198
587730847964070444,319.74355342,0.56225233,22.484247,0.664514,19.827805,0.027143,18.219379,0.0107,17.602961,0.010167,17.146328,0.021185
587730847964070450,319.74534789,0.54862712,21.619478,0.305261,19.418081,0.019645,17.808258,8.079931E-3,17.216139,7.818426E-3,16.851768,0.016761
587730847964070461,319.75063648,0.5720479,21.637646,0.325303,20.791376,0.064638,20.472404,0.070744,20.300482,0.100395,20.003136,0.260713
587730847964070590,319.67907196,0.52785273,22.374125,0.383924,21.408606,0.065775,19.911783,0.030132,19.277428,0.025544,18.800203,0.054066
587730847964070607,319.69120956,0.60039796,21.053782,0.174072,20.1849,0.028556,19.345154,0.020525,18.994844,0.0232,18.603714,0.055597
587730847964070661,319.72691982,0.5302437,21.277651,0.169024,20.406343,0.032838,19.40288,0.021893,18.978334,0.025676,18.622398,0.053929
