,objID,ra_x,dec_x,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,ra_y,dec_y,Photoz,Photoz_err
26,587734304875610699,328.31393884,0.19438513,22.698110999999997,0.633017,21.329855,0.062138,19.959460999999997,0.030518,19.389851,0.02719,18.921837,0.079039,328.31393884,0.19438513,0.26428,0.048674
27,587734304875610703,328.31648368,0.17540594,22.211075,0.699441,20.880913,0.068883,20.383078,0.071078,20.165115,0.087903,19.481564000000002,0.21609899999999999,328.31648368,0.17540594,0.056616,0.030208
28,587734304875610707,328.31855718,0.18702371,21.854885,0.502448,21.434177,0.109866,20.827938,0.10442699999999999,20.798006,0.151872,21.786072,1.5146389999999998,328.31855718,0.18702371,0.072015,0.07725
29,587734304875610836,328.36764723,0.19351262,23.176657000000002,0.808285,21.548368,0.064074,20.05162,0.028702,19.541712,0.026605,19.074939999999998,0.075322,328.36764723,0.19351262,0.197026,0.052144
30,587734304875610837,328.36755974,0.19947346,22.686642000000003,0.519246,21.700279000000002,0.069753,20.349182,0.034906,19.795676999999998,0.031150999999999998,19.366013,0.091197,328.36755974,0.19947346,0.305259,0.08592000000000001
31,587731186726928422,328.29904948,0.21034617,22.754791,0.497841,21.547356,0.062064999999999995,20.387173,0.03701,21.189826999999998,0.10693699999999999,20.210869,0.185028,328.29904948,0.21034617,0.119558,0.120111
32,587731186726928424,328.29732124,0.21008638,23.481543,0.8393299999999999,20.866301,0.036469,21.505777,0.12147999999999999,21.289494,0.14307,20.18944,0.17986,328.29732124,0.21008638,0.100596,0.077963
33,587731186726928954,328.33949022,0.23571012,22.613889999999998,0.550044,20.63735,0.033641000000000004,19.108572,0.015409,18.507054999999998,0.013561000000000002,18.160275,0.039781,328.33949022,0.23571012,0.250208,0.015403
34,587731186726928958,328.34607857,0.23433022,21.45327,0.229854,19.977709,0.022532,19.003719,0.016280000000000003,18.473288,0.016022,18.118151,0.045316,328.34607857,0.23433022,0.158352,0.022321
35,587731186726928961,328.34964984,0.22245589999999998,23.473608,0.830297,21.349911,0.047463,19.840861999999998,0.022000000000000002,19.322021,0.020356,18.904510000000002,0.056607000000000005,328.34964984,0.22245589999999998,0.22301300000000002,0.012351
36,587731186726928971,328.36390733,0.21749101,22.157757,0.491935,20.618376,0.042354,19.222992,0.021549000000000002,18.71097,0.021843,18.30896,0.059425,328.36390733,0.21749101,0.21053400000000003,0.049894
37,587731186726929040,328.32335038,0.23164061,24.395664,2.225374,21.121317,0.061752999999999995,19.606897,0.027348,18.979038,0.023694999999999997,18.623697,0.075264,328.32335038,0.23164061,0.24805300000000002,0.014052
38,587731186726929273,328.33943969,0.23283664,23.959423,1.273946,21.562519,0.063082,20.233583,0.032345,19.709518,0.030236000000000002,19.491215,0.107004,328.33943969,0.23283664,0.186203,0.021251
39,587731186726929341,328.36099418,0.22336333,22.215265,0.48229799999999995,21.263609,0.069254,19.660221,0.028076999999999998,19.042852,0.024539,18.74387,0.083411,328.36099418,0.22336333,0.290813,0.091829
