objID,ra,dec,Photoz,Photoz_err
588015509276459208,16.23069905,0.06009601,0.304458,0.022838
588015509276459641,16.23171615,0.05655671,0.206981,0.034058
588015509276459195,16.2252146,0.06456228,0.299018,0.037888
588015509276459200,16.2260247,0.05671944,0.284661,0.02691
588015509276459209,16.23723991,0.06100216,0.285152,0.025079
588015509276459638,16.23084491,0.06600662,0.25854,0.021325
588015509276459099,16.24269869,0.06739715,0.278634,0.049968
588015509276459104,16.24610529,0.06193501,0.251167,0.042204
588015509276459187,16.22195168,0.05723525,0.300849,0.052899
588015509276459188,16.22141259,0.06052521,0.254337,0.051941
588015509276459193,16.22734718,0.06685065,0.277545,0.018324
588015509276459194,16.22590442,0.06744078,0.310907,0.058784
588015509276459206,16.23032074,0.07209334,0.323969,0.042585
588015509276459670,16.23942757,0.0644518,0.115991,0.0204
588015509276459212,16.23560649,0.07309766,0.309916,0.017159
588015509276459214,16.23639366,0.03474255,0.30345,0.018285
588015509276459219,16.23933715,0.05491981,0.276521,0.019008
588015509276459225,16.24399591,0.08198321,0.340916,0.051902
588015509276459540,16.20649144,0.068285,0.25004,0.01304
588015509276459541,16.20730956,0.06175928,0.318381,0.107422
588015509276459560,16.21161236,0.0715115,0.204465,0.076677
588015509276459566,16.21292001,0.05549497,0.189751,0.056503
588015509276459585,16.21930809,0.04585959,0.250066,0.018962
588015509276459588,16.21959011,0.05123377,0.505869,0.14251
588015509276459602,16.22036305,0.07262499,0.230128,0.031944
588015509276459603,16.22110373,0.06972063,0.273344,0.085866
588015509276459604,16.22154184,0.07163733,0.345061,0.028298
588015509276459631,16.22695253,0.04618111,0.280556,0.114609
588015509276459636,16.23055339,0.0372746,0.211404,0.020062
588015509276459693,16.24717079,0.05837113,0.188008,0.116129
588015509276459084,16.20328107,0.02752948,0.24798,0.013678
588015509276459092,16.23425539,0.02443932,0.077791,0.027667
588015509276459093,16.23663237,0.02318631,0.060956,0.020996
588015509276459100,16.24409895,0.09134987,0.107932,0.030057
588015509276459113,16.26722135,0.03942772,0.096933,0.015339
588015509276459167,16.18923359,0.05710591,0.232462,0.014933
588015509276459168,16.18965094,0.05578229,0.260527,0.137612
588015509276459172,16.19240079,0.04481116,0.290662,0.015123
588015509276459173,16.19266332,0.05574467,0.268671,0.016109
588015509276459177,16.19477377,0.0422616,0.259044,0.06275
588015509276459180,16.19995408,0.03306965,0.238935,0.088709
588015509276459183,16.21304672,0.03193791,0.277259,0.017051
588015509276459216,16.23868677,0.03140059,0.179054,0.090719
588015509276459233,16.2560359,0.08314117,0.310393,0.018125
588015509276459235,16.25669754,0.04176613,0.273281,0.02394
588015509276459237,16.25954348,0.05375066,0.221845,0.013074
588015509276459238,16.26408515,0.05318818,0.228817,0.069091
588015509276459239,16.26248805,0.05268016,0.219198,0.078741
588015509276459240,16.2608736,0.05262972,0.163323,0.02831
588015509276459241,16.26093617,0.05528526,0.167058,0.028991
588015509276459244,16.25774585,0.0532713,0.088089,0.03782
588015509276459249,16.26139406,0.0818413,0.25502,0.026322
588015509276459254,16.26541891,0.06483083,0.252576,0.014022
588015509276459259,16.27317757,0.0553846,0.230663,0.029706
588015509276459287,16.1951044,0.0551744,0.280929,0.034025
588015509276459316,16.22075171,0.02677935,0.27835,0.044759
588015509276459504,16.19330292,0.05851309,0.191091,0.06571
588015509276459644,16.23264123,0.04199883,0.197023,0.032013
588015509276459673,16.24051812,0.07679443,0.034386,0.020954
588015509276459691,16.24519365,0.05163128,0.257225,0.027381
588015509276459698,16.24981016,0.06598115,0.05232,0.056173
588015509276459705,16.25202953,0.06241728,0.050839,0.028054
588015509276459122,16.27739109,0.07533381,0.099911,0.029675
588015509276459161,16.18317597,0.07047805,0.265222,0.028603
588015509276459163,16.18393242,0.04774892,0.273817,0.017966
588015509276459164,16.18491844,0.04948875,0.234516,0.046553
588015509276459170,16.18945914,0.03520194,0.287873,0.014282
588015509276459270,16.27895918,0.05148342,0.257401,0.011983
588015509276459472,16.18278765,0.05852769,0.247555,0.026069
588015509276459508,16.19555352,0.03620499,0.150589,0.040937
588015509276459521,16.19973358,0.02108999,0.221147,0.054276
588015509276459524,16.20183823,0.02954183,0.168533,0.040563
588015509276459534,16.20470462,0.03055202,0.272528,0.018095
588015509276459538,16.20508605,0.0412313,0.279313,0.0227
588015509276459539,16.20613937,0.03990812,0.244354,0.041831
588015509276459542,16.20756183,0.04393941,0.256209,0.028672
588015509276459596,16.22056074,0.03248724,0.122112,0.062691
588015509276459608,16.2238052,0.02011855,0.212374,0.03028
588015509276459634,16.22903098,0.03029981,0.231549,0.018563
588015509276459637,16.23120672,0.10583114,0.317517,0.080943
588015509276459655,16.23450627,0.01886804,0.267724,0.01768
588015509276459680,16.24231727,0.01577515,0.196478,0.022176
588015509276459682,16.24307011,0.10231193,0.065887,0.024515
588015509276459704,16.25095657,0.08009885,0.208513,0.026101
588015509276459709,16.25187208,0.08261433,0.235363,0.035624
588015509276459722,16.25711506,0.08717941,0.298095,0.022447
588015509276459759,16.26633482,0.0438503,0.269033,0.022673
588015509276459799,16.27561486,0.04904004,0.15431,0.03037
588015509276459804,16.2760096,0.05954006,0.285851,0.079535
