objID,ra,dec,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
587730847964070620,319.7044648,0.56036677,278041388094849024,319.70446,0.5603642,0.276524,1.70559E-4
587730847964070307,319.67791459,0.53503008,278041388153569280,319.67791,0.5350272,0.27102,1.78805E-4
587730847964070444,319.74355342,0.56225233,277759570586107904,319.74355,0.56225234,0.276829,1.89913E-4
587730847964070450,319.74534789,0.54862712,278041388157763584,319.74534,0.54862732,0.271476,2.04789E-4
