,tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,1,82.0,319.719298225,0.578339697222,5.87730847964071e+17,319.71986814,0.5782262,23.42219,0.739951,21.792901999999998,0.077127,20.469828,0.03436,19.936598,0.03539,19.567211,0.086126,0.204122,0.022442,,,,,
1,NE,1,193.0,319.709298232,0.564561919444,5.877308479640707e+17,319.70952431,0.56446718,23.816511,1.2936,21.614939,0.086394,20.088097,0.032925,19.483747,0.032011000000000005,18.948521,0.067761,0.22253699999999998,0.023553,,,,,
2,NE,1,216.0,319.72629823200003,0.562867475,5.877308479640707e+17,319.7260163,0.56271169,23.000572000000002,0.711901,21.281839,0.066936,19.710453,0.02402,19.026649,0.022105,18.554979,0.04887,0.27939,0.02939,,,,,
3,NE,2,69.0,319.721298225,0.5795619194439999,5.87730847964071e+17,319.72160615,0.57946191,24.767107,1.800142,21.924419,0.125392,20.551614999999998,0.051859,19.998306,0.052769,19.619629,0.13009500000000002,0.196979,0.013699000000000001,,,,,
4,NE,2,149.0,319.707214896,0.569145252778,5.87730847964071e+17,319.70686153,0.56922348,24.164673,1.3258459999999999,21.772673,0.085699,20.655025,0.045758,20.035238,0.044052999999999995,19.756307999999997,0.117099,0.143348,0.030895999999999996,,,,,
5,NE,2,220.0,319.7043399,0.560506363889,5.877308479640707e+17,319.7044648,0.56036677,20.909496,0.278853,19.015795,0.022111000000000002,17.416439,0.008706120999999999,16.800909,0.008317101,16.390743,0.018323,0.26915300000000003,0.016569999999999998,2.7804138809484902e+17,319.70446,0.5603642,0.276524,0.000170559
6,NE,2,224.0,319.712256567,0.560506363889,5.877308479640704e+17,319.71215138,0.56024282,25.328011,1.265478,21.474693,0.070316,20.060509,0.029724,19.485891,0.029412999999999998,19.080606,0.068656,0.21081599999999998,0.025749,,,,,
7,NE,3,21.0,319.713256556,0.584034141667,5.877308479640707e+17,319.7134431,0.58387861,23.012821,0.673693,21.019644,0.04893,19.560270000000003,0.020238,18.9802,0.019857,18.62528,0.047504000000000005,0.22717199999999999,0.010784,,,,,
8,NE,3,66.0,319.716256558,0.5789785861110001,5.87730847964071e+17,319.71589496,0.57899662,22.127848,0.33402600000000005,20.957777,0.047906,20.200198999999998,0.034379,19.717739,0.037275,19.372066,0.09708,0.122209,0.037752,,,,,
9,NE,3,75.0,319.705214892,0.577200808333,5.877308479640707e+17,319.70543456,0.57683923,21.623922,0.213329,20.12027,0.024687,19.152504,0.015309999999999999,18.571175,0.015106,18.203835,0.035085000000000005,0.142439,0.029198,,,,,
10,NE,3,77.0,319.709298226,0.577228586111,5.87730847964071e+17,319.70921151,0.57696508,23.273602,0.84377,21.62027,0.082696,20.139677,0.032869999999999996,19.485897,0.030663,19.234582999999997,0.082965,0.23104699999999997,0.039757,,,,,
11,NE,3,118.0,319.704256562,0.572006363889,5.877308479640707e+17,319.70467432,0.5722968,23.553307,1.245892,20.413914000000002,0.036160000000000005,18.849731,0.014256999999999999,18.244013,0.013731,17.803406,0.029899000000000002,0.25601399999999996,0.018419,,,,,
12,NE,3,178.0,319.70829823099996,0.565117475,5.877308479640707e+17,319.70854684,0.56538105,22.195801,0.51974,20.555904,0.049589,19.007275,0.019096000000000002,18.337785999999998,0.017528,17.888216,0.038827999999999994,0.275356,0.025802999999999996,,,,,
13,NE,3,187.0,319.726298231,0.565256363889,5.877308479640707e+17,319.72670334,0.56543374,22.468798,0.547851,21.287825,0.076609,19.816879,0.030576999999999997,19.304558,0.032055,18.937338,0.078833,0.237129,0.084129,,,,,
14,NE,3,214.0,319.722173233,0.561756363889,5.877308479640707e+17,319.72254015,0.56157383,25.103889000000002,1.5055370000000001,21.480453,0.07618899999999999,19.899343,0.027852999999999996,19.321579,0.027677999999999998,18.928735999999997,0.065429,0.255143,0.014044,,,,,
15,NE,3,235.0,319.706298235,0.5583396972219999,5.877308479640707e+17,319.7063354,0.55851077,23.130402,1.013315,21.845905,0.139248,20.170223,0.043677,19.643606,0.045617000000000005,19.469282,0.13530799999999998,0.174206,0.071687,,,,,
16,NW,1,25.0,319.694256555,0.585200808333,5.87730847964071e+17,319.69423956,0.58527106,25.652269,0.9325370000000001,21.821524,0.08529199999999999,20.602992999999998,0.041714999999999995,19.913529999999998,0.038236,19.750574,0.114718,0.19231199999999998,0.034569,,,,,
17,NW,1,32.0,319.679256556,0.583423030556,5.877308479640709e+17,319.67909807,0.58323089,26.045212,0.83565,21.697567000000003,0.090653,20.643188000000002,0.050437,19.976538,0.046754000000000004,19.557953,0.11260799999999999,0.141593,0.038988999999999996,,,,,
18,NW,2,21.0,319.68529822200003,0.5845896972219999,5.87730847964071e+17,319.68553594,0.58477639,24.982204,1.350268,21.932743,0.09592,20.522057999999998,0.039767000000000004,19.968678,0.040629000000000005,19.503159,0.091218,0.203126,0.016413,,,,,
19,NW,2,112.0,319.693214894,0.574395252778,5.87730847964071e+17,319.69339205,0.57396916,23.114401,0.69895,21.841414999999998,0.093777,20.329124,0.035982,19.694471,0.034029000000000004,19.140895999999998,0.071805,0.32145300000000004,0.06800700000000001,,,,,
