tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec
NE,D1,62,328.342756676,0.211534141667,587731186726929280,328.34258267,0.21106047
NE,D1,172,328.359756678,0.199561919444,587734304875610188,328.36001447,0.1994361
NE,D1,182,328.350798345,0.197839697222,587734304875610194,328.35071266,0.19832467
NE,D1,215,328.358756679,0.194367475,587734304875610183,328.35925216,0.1945042
NE,D2,138,328.348756678,0.202395252778,587734304875610780,328.34831509,0.20243937
NE,D2,220,328.338840013,0.192006363889,587734304875610492,328.33894725,0.19186223
NE,D3,129,328.360756678,0.203589697222,587734304875610577,328.36090259,0.20345186
NE,D3,154,328.352756678,0.200145252778,587734304875610607,328.35321203,0.19986756
NE,D3,161,328.337756678,0.198339697222,587734304875610354,328.3381717,0.19835973
NE,D3,168,328.351798345,0.198423030556,587734304875610191,328.35227346,0.19826313
NE,D3,174,328.363798345,0.198367475,587734304875610184,328.36332264,0.19824694
NW,D1,206,328.313798346,0.194311919444,587734304875610699,328.31393884,0.19438513
NW,D2,55,328.329756676,0.212728586111,587731186726929239,328.33002332,0.21286289
NW,D3,151,328.319798345,0.200117475,587734304875610482,328.31990149,0.19986906
NW,D3,217,328.335798346,0.193228586111,587734304875610748,328.33586188,0.19304171
SE,D1,12,328.358715013,0.191589697222,587734304875610186,328.35857851,0.1914648
SE,D1,40,328.35675668,0.188061919444,587734304875610366,328.35678282,0.18787442
SE,D1,81,328.351756681,0.182923030556,587734304875610804,328.35223903,0.18310717
SE,D3,25,328.355715013,0.188645252778,587734304875610368,328.3553303,0.18824683
SE,D3,43,328.362715014,0.187006363889,587734304875610580,328.36255391,0.18722642
SE,D3,57,328.361715014,0.185256363889,587734304875610513,328.3616901,0.18507561
SE,D3,61,328.340798347,0.183534141667,587734304875610757,328.34050075,0.18344759
SW,D1,51,328.322840014,0.186339697222,587734304875610483,328.32243496,0.18623391
SW,D1,174,328.336840016,0.172534141667,587734304875610749,328.33722442,0.17279183
SW,D2,35,328.318798347,0.187450808333,587734304875610707,328.31855718,0.18702371
SW,D2,56,328.33175668,0.185756363889,587734304875610733,328.33212448,0.18559988
SW,D2,133,328.311840015,0.175506363889,587734304875610697,328.31177105,0.17593367
SW,D3,41,328.331715014,0.186923030556,587734304875610732,328.3314515,0.18721282
