,tile,dither,fiber,ra,dec,redshift,seperation,LOSV
0,NE,D1,195.0,16.23942757,0.0644518,0.26584,0.14361294087225154,-1438.479839965889
1,NE,D1,223.0,16.23723991,0.06100216,0.26932,0.09806572380996635,-620.4348341540064
3,NE,D2,220.0,16.23069905,0.06009601,0.27178,0.0001534056256142161,-42.16164039042712
4,NE,D3,106.0,16.23560649,0.07309766,0.2788,0.21183858804668118,1608.0325954714754
5,NE,D3,118.0,16.23032074,0.07209334,0.27503,0.1812662382381467,721.8171725085991
6,NE,D3,160.0,16.22734718,0.06685065,0.27487,0.11390271512434512,684.2059078735714
7,NW,D1,163.0,16.20649144,0.068285,0.27314,0.38402557493103234,277.5341090073152
8,NW,D2,173.0,16.22590442,0.06744078,0.26317,0.1284012899933447,-2066.117818562941
9,NW,D2,229.0,16.22141259,0.06052521,0.26704,0.13753628147061703,-1156.3953552031746
11,NW,D3,207.0,16.20730956,0.06175928,0.2684,0.3479718801457513,-836.699605805419
12,SE,D1,50.0,16.23933715,0.05491981,0.27206,0.1506870328549982,23.65807272087469
15,SE,D3,208.0,16.23639366,0.03474255,0.27827,0.3954510640351748,1483.4452813679468
16,SE,D3,238.0,16.23868677,0.03140059,0.27061,0.4443573375780825,-317.1940130340797
17,SW,D2,26.0,16.22195168,0.05723525,0.26648,0.13592494239576522,-1288.0347814257782
19,SW,D2,135.0,16.20756183,0.04393941,0.26986,0.42032086375740724,-493.49681601078606
21,SW,D2,218.0,16.19995408,0.03306965,0.28118,0.6277956919025549,2167.5001569175342
22,SW,D3,228.0,16.22056074,0.03248724,0.27694,0.4461640930029032,1170.8016440892663
