tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec
NE,D1,39,191.122115802,16.8215278972,1237668623551889757,191.121582189949,16.8214361232361
NE,D1,79,191.114949104,16.8163612306,1237668623551890224,191.114952131725,16.8164749703197
NE,D1,85,191.127240771,16.8164167861,1237668623551890285,191.127674048683,16.8162530888823
NE,D1,124,191.118032406,16.8112223417,1237668623551889753,191.118472123464,16.8113621714284
NE,D1,207,191.109907343,16.8009167861,1237668623551889445,191.110242200908,16.8004727410024
NE,D2,65,191.114907444,16.8174723417,1237668623551890225,191.114902035528,16.8179248657358
NE,D2,108,191.113949079,16.812305675,1237668623551889746,191.113751782691,16.8123253116534
NE,D2,123,191.114907403,16.8106945639,1237668623551889747,191.115371070324,16.8110507967752
NE,D2,161,191.103740704,16.8054167861,1237668623551889437,191.104119709073,16.8052247820813
NE,D2,221,191.107865662,16.7986390083,1237668623551889557,191.107482837856,16.7987600455779
NE,D3,12,191.126157483,16.8238890083,1237668623551890278,191.126410888696,16.8239280665225
NE,D3,205,191.105824002,16.7997501194,1237668623551889554,191.105993102886,16.8001103791312
NW,D1,17,191.099490657,16.797805675,1237668623551889616,191.099998568118,16.7977935111008
NW,D1,70,191.119115627,16.7928334528,1237668623551890244,191.11902375145,16.7926822931779
NW,D2,6,191.105698998,16.7989445639,1237668623551889555,191.105995073964,16.7991564709441
NW,D3,3,191.100573994,16.7984445639,1237668623551889615,191.100499889737,16.7980755090013
NW,D3,50,191.107782296,16.7932778972,1237668623551889737,191.107777355205,16.7931682950557
SE,D1,164,191.113865538,16.7782501194,1237668623551889652,191.113767910634,16.777775409319
SE,D2,61,191.109657274,16.7896667861,1237668623551890187,191.109295987937,16.7894234544426
SE,D3,14,191.133115647,16.7960834528,1237668623551890317,191.132966637515,16.7964309794345
SE,D3,17,191.109532302,16.7942223417,1237668623551889738,191.109386661699,16.7947517863139
SE,D3,105,191.111740573,16.7840001194,1237668623551890214,191.111663967787,16.7835636126243
SW,D1,25,191.096948976,16.7953890083,1237668623551890149,191.097178857435,16.7953067849483
SW,D1,29,191.105115643,16.7954723417,1237668623551889556,191.105181432801,16.7956955478267
SW,D2,28,191.10211564,16.7949167861,1237668623551889732,191.102187386368,16.7951819908651
SW,D2,241,191.093073816,16.7692223417,1237668589188743620,191.093053305416,16.7687803412741
