objID,ra,dec,Photoz,Photoz_err
1237668623551889556,191.105181432801,16.7956955478267,0.183711,0.010424
1237668623551889555,191.105995073964,16.7991564709441,0.242788,0.016157
1237668623551889554,191.105993102886,16.8001103791312,0.229999,0.012496
1237668623551889557,191.107482837856,16.7987600455779,0.282107,0.051072
1237668623551889615,191.100499889737,16.7980755090013,0.269685,0.033677
1237668623551889732,191.102187386368,16.7951819908651,0.07601,0.084121
1237668623551889437,191.104119709073,16.8052247820813,0.185427,0.011703
1237668623551889445,191.110242200908,16.8004727410024,0.215202,0.017637
1237668623551889549,191.098606092828,16.8042848618104,0.039551,0.009947
1237668623551889616,191.099998568118,16.7977935111008,0.218218,0.030776
1237668623551889737,191.107777355205,16.7931682950557,0.385631,0.084644
1237668623551889738,191.109386661699,16.7947517863139,0.155988,0.072733
1237668623551890149,191.097178857435,16.7953067849483,0.193756,0.080603
1237668623551890187,191.109295987937,16.7894234544426,0.322532,0.223244
1237668589188743327,191.130013105451,16.7676238006381,0.140476,0.014744
1237668589188743564,191.072735094427,16.7671198371207,0.154337,0.012219
1237668589188743620,191.093053305416,16.7687803412741,0.176969,0.030417
1237668589188743715,191.126581773277,16.7661160341297,0.22949,0.065952
1237668623551889419,191.077563447934,16.8027118980125,0.380187,0.139001
1237668623551889652,191.113767910634,16.777775409319,0.083388,0.02716
1237668623551889746,191.113751782691,16.8123253116534,0.250768,0.029491
1237668623551889747,191.115371070324,16.8110507967752,0.073803,0.022013
1237668623551889753,191.118472123464,16.8113621714284,0.367741,0.067046
1237668623551890084,191.083041572599,16.7912330286085,0.040386,0.044236
1237668623551890131,191.091741973239,16.800200293821,0.205773,0.13602
1237668623551890214,191.111663967787,16.7835636126243,0.169657,0.019715
1237668623551890224,191.114952131725,16.8164749703197,0.182528,0.023197
1237668623551890225,191.114902035528,16.8179248657358,0.132948,0.060934
1237668623551890244,191.11902375145,16.7926822931779,0.315043,0.074371
1237668623551890317,191.132966637515,16.7964309794345,0.419255,0.033366
1237668589188743622,191.092628371634,16.7517448943624,0.217762,0.029521
1237668589188743692,191.118729608495,16.7509010404928,0.335712,0.021392
1237668589188743734,191.133016911855,16.7615015706545,0.223743,0.113709
1237668623551889415,191.071386606178,16.8049045895486,0.24068,0.058665
1237668623551889613,191.099094533087,16.8328798665384,0.209205,0.026438
1237668623551889757,191.121582189949,16.8214361232361,0.446119,0.013375
1237668623551890038,191.072263970872,16.7830597986905,0.189763,0.070698
1237668623551890046,191.075147624628,16.7904126628582,0.233888,0.029941
1237668623551890052,191.077324711336,16.8314795404589,0.145662,0.024793
1237668623551890057,191.077998654936,16.8209460076338,0.38034,0.087391
1237668623551890089,191.085068335951,16.8288438765744,0.345243,0.047708
1237668623551890093,191.085784086189,16.8316037549027,0.081231,0.0713
1237668623551890156,191.10239505104,16.8319372824684,0.245138,0.08986
1237668623551890159,191.1041846675,16.8283417530923,0.418137,0.021715
1237668623551890164,191.106015148713,16.8326835702342,0.208216,0.013875
1237668623551890178,191.108240536334,16.8367004005462,0.219344,0.011536
1237668623551890212,191.113154834845,16.8435962198468,0.608968,0.258228
1237668623551890278,191.126410888696,16.8239280665225,0.221858,0.026282
1237668623551890285,191.127674048683,16.8162530888823,0.209822,0.038368
1237668623551890345,191.139387448835,16.8158177022484,0.354188,0.057831
