tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift,separation,interloper,LOSV
SE,2.0,164.0,203.836081449,40.9802501389,1.23766230672e+18,203.83583591,40.9801809702,21.76798,0.1786283,20.87581,0.03711557,20.0183,0.02718936,19.69044,0.03231897,19.16082,0.08961336,0.339092,0.037245,,,,,,c203p83+41p0,0.29371,0.332462199034,YES,14844.519816
SE,3.0,157.0,203.857164735,40.9815001389,1.23766230672e+18,203.857737528,40.9815190039,20.065,0.05759837,18.94585,0.01089679,18.31182,0.009449583,17.94941,0.01029177,17.75307,0.03482996,0.131227,0.02587,,,,,,c203p83+41p0,0.17011,0.279095242805,YES,-15139.9300601
SE,3.0,171.0,203.855914801,40.9797501389,1.23766230672e+18,203.855551949,40.9802447228,23.75419,0.7081649,20.91185,0.03345217,19.49041,0.0158683,18.94034,0.01498678,18.66898,0.04797856,0.260642,0.053501,,,,,,c203p83+41p0,0.2398,0.363517673563,NO,1766.35078026
SW,1.0,41.0,203.821455838,40.9963334722,1.23766230672e+18,203.82206463,40.99650149,23.32212,0.4784255,21.2529,0.04071494,19.8677,0.01963967,19.46308,0.02064252,19.05513,0.06119702,0.209278,0.013096,,,,,,c203p83+41p0,0.2235,0.12884006634,NO,-2187.90919532
SW,1.0,114.0,203.822831165,40.9877223611,1.23766230672e+18,203.823038158,40.9876535288,21.99504,0.736333,21.85929,0.2848833,20.60407,0.1438795,26.13721,1.422815,22.57422,4.385622,0.14323,0.071398,,,,,,c203p83+41p0,0.24921,0.220885479982,YES,4049.14749008
SW,1.0,224.0,203.806998356,40.9739168056,1.23766230672e+18,203.807123648,40.9736812817,22.13616,0.2958258,20.57229,0.03672962,20.02519,0.0419121,19.99091,0.05144538,20.90674,0.51201,0.28397,0.146663,,,,,,c203p83+41p0,0.12763,0.279554735102,YES,-25445.2652603
SW,1.0,227.0,203.815040021,40.9739445833,1.23766230672e+18,203.814622096,40.974239934,23.93951,0.9994741,20.684,0.03391698,19.27466,0.01620182,18.75763,0.01602108,18.33847,0.04640819,0.243349,0.033878,,,,,,c203p83+41p0,0.23219,0.406943221171,NO,-79.7791837995
SW,1.0,232.0,203.82816502,40.9739723611,1.23766230672e+18,203.828815259,40.9740967661,22.98557,0.3637128,21.32344,0.04138552,19.93415,0.01985928,19.48168,0.02046012,19.15758,0.06493628,0.266304,0.040552,,,,,,c203p83+41p0,0.22401,0.354224868266,YES,-2064.18695068
SW,2.0,29.0,203.826789126,40.9975279167,1.23766230672e+18,203.826629761,40.9972396415,22.35106,0.535363,19.71623,0.02504246,18.1653,0.01106814,17.57146,0.01025808,17.16976,0.02920268,0.295318,0.043499,1.64834555302e+18,203.8266,40.997259,0.241427,3.385718e-05,c203p83+41p0,0.24048,0.0906775507538,YES,1931.3137731
SW,2.0,39.0,203.814955856,40.99586125,1.23766230672e+18,203.814746768,40.9955178244,22.79472,0.5102419,20.06825,0.02371259,18.72575,0.01225395,18.29127,0.0126377,17.91288,0.03705173,0.197994,0.014165,,,,,,c203p83+41p0,0.22649,0.201303035289,NO,-1462.55721207
SW,2.0,53.0,203.813664258,40.9940556944,1.23766230672e+18,203.813380117,40.9941394755,22.79868,0.4410726,20.15983,0.02305493,18.73438,0.01140737,18.25765,0.01132074,17.90435,0.03267564,0.221895,0.013267,,,,,,c203p83+41p0,0.24121,0.231478158345,NO,2108.40639778
SW,2.0,59.0,203.791080989,40.99236125,1.23766230672e+18,203.791074862,40.9924506438,21.31622,0.1135179,20.54685,0.02639704,19.83123,0.0212891,19.61586,0.02653118,19.34665,0.0926269,0.280021,0.041229,,,,,,c203p83+41p0,0.2332,0.445931142004,NO,165.239379104
SW,2.0,65.0,203.806997657,40.9923334722,1.23766230672e+18,203.807190198,40.9922066837,25.89434,0.4776573,21.89338,0.07187994,20.57964,0.03525526,20.20701,0.03924827,19.74186,0.1181,0.273432,0.053932,,,,,,c203p83+41p0,0.31586,0.364514110055,YES,20217.9467154
SW,2.0,86.0,203.824206055,40.9906390278,1.23766230672e+18,203.823905586,40.9903479468,22.88812,0.3999276,20.90788,0.03421905,19.70572,0.01883869,19.31064,0.02032576,19.094,0.07283064,0.257936,0.026036,,,,,,c203p83+41p0,0.224,0.169891551244,NO,-2066.61287705
SW,2.0,90.0,203.796414453,40.9889168056,1.23766230672e+18,203.796244545,40.9888330303,24.16849,0.6796396,21.80074,0.05609811,20.41188,0.0259593,19.94985,0.02664283,19.8131,0.1030912,0.285273,0.037165,,,,,,c203p83+41p0,0.2354,0.415532363312,NO,698.943179489
SW,3.0,26.0,203.820205813,40.9970001389,1.23766230672e+18,203.819849973,40.9968117962,20.85656,0.151818,19.10165,0.01587154,17.9421,0.009522136,17.49758,0.009781753,17.21211,0.03082489,0.192932,0.016882,,,,,,c203p83+41p0,0.22492,0.147453251262,NO,-1843.42765143
SW,3.0,37.0,203.810955879,40.9952779167,1.23766230672e+18,203.810429257,40.9954171135,22.73631,0.3316861,20.90106,0.03276386,19.788,0.01930334,19.4486,0.02154198,19.17183,0.07286116,0.205581,0.025365,,,,,,c203p83+41p0,0.24276,0.25482400627,NO,2484.42498441
SW,3.0,65.0,203.808331011,40.9917779167,1.23766230672e+18,203.808101133,40.9912699607,21.44015,0.1820879,19.85515,0.02207286,18.60456,0.01218316,18.17415,0.01264965,17.82764,0.03852757,0.215769,0.033512,,,,,,c203p83+41p0,0.23617,0.293175336681,NO,885.739509623
SW,3.0,73.0,203.791122742,40.9900834722,1.23766230672e+18,203.791677567,40.9898412112,23.6261,0.5385977,20.8194,0.02719796,19.5183,0.01441407,19.02039,0.0141291,18.73414,0.04331937,0.224002,0.044663,,,,,,c203p83+41p0,0.2307,0.446908573563,NO,-441.242212242
