tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
NE,1.0,14.0,203.862413016,41.0267501389,1.23766230672e+18,203.862518086,41.0267223675,24.30209,0.7771495,21.8421,0.06222472,20.46995,0.02916525,19.91439,0.02789407,19.69565,0.1004603,0.242741,0.035799,,,,,,c203p83+41p0,1.0,0.20192,0.0003
NE,1.0,111.0,203.850538474,41.0146945833,1.23766230672e+18,203.850738999,41.0150458672,22.53083,0.2730153,21.15081,0.03865311,20.09699,0.02368428,19.59985,0.02370049,19.33884,0.0830062,0.20919,0.024916,,,,,,c203p83+41p0,1.0,0.11775,0.00013
NE,1.0,154.0,203.849288671,41.0095279167,1.23766230672e+18,203.849391399,41.0092206568,23.19738,0.5872992,20.54949,0.02950015,19.28464,0.01586207,18.86443,0.01656304,18.40397,0.04692092,0.183703,0.013588,,,,,,c203p83+41p0,0.0,0.22139,0.00017
NE,1.0,242.0,203.851955731,40.9991668056,1.23766230672e+18,203.852381398,40.9993557797,23.04866,0.4032329,21.79652,0.06425571,20.16403,0.02472616,19.56542,0.02287324,19.29809,0.07808867,0.353289,0.025769,,,,,,c203p83+41p0,2.0,0.24788,0.00017
NE,2.0,6.0,203.839996373,41.0261390278,1.23766230672e+18,203.840739963,41.0261547816,23.11905,0.5165455,21.54791,0.06134805,20.37656,0.03345444,20.04733,0.0387423,20.01882,0.1740776,0.227563,0.071251,,,,,,c203p83+41p0,1.0,0.16906,0.00021
NE,2.0,14.0,203.861079704,41.0261945833,1.23766230672e+18,203.860970024,41.025852654,22.94383,0.3621446,21.33969,0.04155665,20.94947,0.04250396,20.79237,0.05731483,21.32602,0.4113278,0.044197,0.042328,,,,,,c203p83+41p0,0.0,0.04031,0.00027
NE,2.0,63.0,203.837246632,41.0193056944,1.23766230672e+18,203.837491737,41.0190277612,21.19069,0.1941375,19.13342,0.01606839,17.89726,0.009110067,17.46273,0.009395971,17.16974,0.02932981,0.199394,0.015744,,,,,,c203p83+41p0,0.0,0.23811,0.0001
NE,3.0,22.0,203.845246459,41.02386125,1.23766230672e+18,203.845332755,41.0235019063,23.85611,0.7696962,20.99516,0.03828963,19.75828,0.0197382,19.17293,0.01866959,18.94497,0.06531595,0.218227,0.040056,,,,,,c203p83+41p0,0.0,0.23857,0.00027
NE,3.0,25.0,203.853163126,41.02386125,1.23766230672e+18,203.852790576,41.0239487163,22.4583,0.2870599,20.85887,0.0342995,19.54343,0.01747972,19.11609,0.01816081,18.71994,0.05456066,0.232991,0.033613,,,,,,c203p83+41p0,0.0,0.14439,0.00012
NE,3.0,73.0,203.82674672,41.0170001389,1.23766230672e+18,203.82686424,41.0168336026,21.35369,0.1934406,20.01688,0.03012479,19.62733,0.03227403,19.33206,0.03924408,19.18431,0.1473496,0.062698,0.015323,,,,,,c203p83+41p0,0.0,0.0779,6e-05
NE,3.0,106.0,203.83737185,41.0135834722,1.23766230672e+18,203.837323678,41.0139435091,23.55438,0.7360366,20.20648,0.03009711,18.82695,0.01340182,18.32364,0.03270292,17.99351,0.03327828,0.221753,0.017104,,,,,,c203p83+41p0,0.0,0.22354,0.00016
NE,3.0,147.0,203.830705383,41.0083334722,1.23766230672e+18,203.830588903,41.0088414911,23.72295,0.8943161,20.78741,0.03733851,19.48155,0.01913801,18.99945,0.01934857,18.74661,0.0660172,0.201506,0.017988,,,,,,c203p83+41p0,0.0,0.238,0.00015
NE,3.0,185.0,203.85458051,41.0049723611,1.23766230672e+18,203.854125163,41.0050188929,22.76795,0.3436307,21.28513,0.04397428,20.50911,0.0333231,20.1051,0.03626836,19.80493,0.1254223,0.070076,0.024592,,,,,,c203p83+41p0,1.0,0.18865,0.00017
NE,3.0,206.0,203.83337231,41.0014723611,1.23766230672e+18,203.833732494,41.00114484,20.04226,0.1079811,17.93587,0.00915489,16.39163,0.004500995,15.86946,0.004327438,15.52125,0.01125991,0.262651,0.012892,5.30094906286e+18,203.83372,41.001146,0.2283087,3.139327e-05,c203p83+41p0,1.0,0.22736,7e-05
NE,3.0,210.0,203.843872311,41.0014445833,1.23766230672e+18,203.843869107,41.0013897943,24.05069,0.9940875,21.07509,0.04448472,19.58604,0.0195372,19.08265,0.01940741,18.78417,0.06387792,0.265788,0.022401,,,,,,c203p83+41p0,1.0,0.22415,0.0001
NW,1.0,67.0,203.813579943,41.0199168056,1.23766230672e+18,203.813886579,41.0194105236,29.05139,0.983466,19.90088,0.3276891,18.90628,0.208348,20.69091,1.776612,17.04205,0.3051364,0.041347,0.040155,,,,,,c203p83+41p0,2.0,0.33751,0.00016
NW,1.0,127.0,203.818871872,41.0130001389,1.23766230672e+18,203.818270412,41.0131479016,21.36386,0.2907842,18.86281,0.01577607,17.43057,0.007754348,16.9326,0.007658666,16.57532,0.02227705,0.23105,0.011054,1.64845165589e+18,203.81826,41.013161,0.2380925,5.570007e-05,c203p83+41p0,0.0,0.23771,0.00014
NW,1.0,158.0,203.824122003,41.0095556944,1.23766230672e+18,203.823517803,41.0092828714,22.9692,0.3701824,21.37566,0.04450426,19.96389,0.02083866,19.45207,0.02035552,19.19244,0.06818418,0.283029,0.04298,,,,,,c203p83+41p0,2.0,0.26915,0.00017
NW,1.0,167.0,203.809705402,41.0078334722,1.23766230672e+18,203.810004054,41.0082590215,22.60904,0.3041517,21.12618,0.03927963,19.69437,0.01831149,19.2057,0.01812852,18.9237,0.05962044,0.293506,0.044428,,,,,,c203p83+41p0,0.0,0.23334,0.00024
NW,2.0,27.0,203.821538103,41.0244723611,1.23766230672e+18,203.821736928,41.0242386135,22.2133,0.2587349,21.44757,0.05904744,20.20768,0.03099903,19.80163,0.03418547,19.53151,0.1226818,0.37578,0.063772,,,,,,c203p83+41p0,0.0,0.15116,0.00024
NW,2.0,63.0,203.801621631,41.0193334722,1.23766230672e+18,203.802025006,41.019603781,20.64552,0.08774781,19.54594,0.01587958,18.83542,0.01394445,18.44315,0.01489809,18.20718,0.05212356,0.160434,0.023211,,,,,,c203p83+41p0,0.0,0.16379,9e-05
NW,2.0,73.0,203.789788365,41.0175834722,1.23766230672e+18,203.790541139,41.0176386143,23.61599,0.635762,21.39915,0.04776718,19.99545,0.02221024,19.52283,0.02253344,19.21165,0.07467189,0.221274,0.010548,,,,,,c203p83+41p0,1.0,0.24024,0.00012
NW,2.0,165.0,203.803080425,41.0072223611,1.23766230672e+18,203.803036231,41.0069907338,22.00677,0.2090524,20.05847,0.0197541,18.74467,0.01067099,18.26933,0.01055116,17.92937,0.03013645,0.203541,0.010653,,,,,,c203p83+41p0,0.0,0.23937,0.00012
NW,2.0,171.0,203.818955423,41.0072779167,1.23766230672e+18,203.818476007,41.0070326701,22.2838,0.2111206,21.84541,0.06459428,21.68384,0.07849355,21.65893,0.1228957,21.36145,0.4317842,0.127452,0.071754,,,,,,c203p83+41p0,1.0,0.16166,0.00025
NW,2.0,173.0,203.824247094,41.0071668056,1.23766230672e+18,203.824632667,41.007545101,23.30442,0.4959226,20.93155,0.03304664,19.48759,0.01551982,18.97585,0.01494878,18.65716,0.04615471,0.245556,0.020031,,,,,,c203p83+41p0,0.0,0.1039,0.00022
NW,2.0,182.0,203.809747155,41.0055556944,1.23766230672e+18,203.809667061,41.0050390715,23.13995,0.357791,21.81003,0.05550334,20.40784,0.02542365,19.91992,0.02550296,19.69903,0.09167963,0.28921,0.048068,,,,,,c203p83+41p0,2.0,0.32557,0.00019
NW,2.0,220.0,203.795205688,41.0003056944,1.23766230672e+18,203.795381911,41.000853265,22.40564,0.3012109,20.5463,0.02849044,19.44894,0.01728865,18.91345,0.01689123,18.632,0.05622612,0.178976,0.017428,,,,,,c203p83+41p0,0.0,0.29939,0.00021
NW,2.0,239.0,203.806955751,40.9986390278,1.23766230672e+18,203.806595167,40.9984954945,24.83506,0.838948,21.60462,0.05445462,20.24304,0.02587605,19.74837,0.02590863,19.48981,0.09137691,0.207437,0.015232,,,,,,c203p83+41p0,1.0,0.23159,0.00019
NW,3.0,20.0,203.804371459,41.02386125,1.23766230672e+18,203.803913017,41.0234946863,22.39598,0.223463,21.35276,0.04197878,20.78024,0.03636441,20.35626,0.03902471,20.14424,0.1516685,0.112566,0.02788,,,,,,c203p83+41p0,2.0,0.05987,0.00023
NW,3.0,124.0,203.810913583,41.0118334722,1.23766230672e+18,203.811047261,41.0123589221,22.33792,0.2247916,21.54637,0.05143832,20.80641,0.03951516,20.46727,0.04587935,20.1112,0.1548016,0.2659,0.052106,,,,,,c203p83+41p0,2.0,0.226,0.00012
NW,3.0,142.0,203.82024698,41.0101668056,1.23766230672e+18,203.82075528,41.0098755173,23.17127,0.4425662,20.87558,0.03112991,19.44079,0.01484342,18.95033,0.01457912,18.61501,0.04370179,0.237332,0.014064,,,,,,c203p83+41p0,0.0,0.22332,0.00016
NW,3.0,228.0,203.817622373,40.9998056944,1.23766230672e+18,203.818167034,41.0000912534,25.55974,0.5402123,21.83431,0.05963257,20.49335,0.02859081,20.03882,0.02963828,19.69026,0.09764063,0.215124,0.024085,,,,,,c203p83+41p0,2.0,0.41111,0.00021
SE,1.0,27.0,203.858497439,40.9980834722,1.23766230672e+18,203.857903414,40.9977918141,21.8996,0.2588147,20.61056,0.03845178,19.35403,0.02033427,18.90769,0.02142588,18.50673,0.06598099,0.284503,0.050405,,,,,,c203p83+41p0,1.0,0.22952,0.00035
SE,1.0,46.0,203.831997573,40.9945556944,1.23766230672e+18,203.832415331,40.9949587399,22.09138,0.2873515,20.18013,0.02628428,18.73198,0.01257445,18.22315,0.01219082,17.897,0.03696806,0.240792,0.015516,,,,,,c203p83+41p0,0.0,0.22933,0.00022
SE,1.0,86.0,203.8611227,40.9911945833,1.23766230672e+18,203.860443534,40.9911946398,22.66607,0.3488546,21.35824,0.05083814,20.5876,0.03910308,20.57172,0.06098407,20.17719,0.2004127,0.187818,0.112874,,,,,,c203p83+41p0,1.0,0.22554,0.00023
