tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
NE,3.0,235.0,319.706298235,0.558339697222,5.87730847964e+17,319.7063354,0.55851077,23.130402,1.013315,21.845905,0.139248,20.170223,0.043677,19.643606,0.045617,19.469282,0.135308,0.174206,0.071687,,,,,,,,,
NW,1.0,25.0,319.694256555,0.585200808333,5.87730847964e+17,319.69423956,0.58527106,25.652269,0.932537,21.821524,0.085292,20.602993,0.041715,19.91353,0.038236,19.750574,0.114718,0.192312,0.034569,,,,,,c319p70+0p56,0.0,0.27271,0.00015
NW,1.0,32.0,319.679256556,0.583423030556,5.87730847964e+17,319.67909807,0.58323089,26.045212,0.83565,21.697567,0.090653,20.643188,0.050437,19.976538,0.046754,19.557953,0.112608,0.141593,0.038989,,,,,,,,,
NW,2.0,21.0,319.685298222,0.584589697222,5.87730847964e+17,319.68553594,0.58477639,24.982204,1.350268,21.932743,0.09592,20.522058,0.039767,19.968678,0.040629,19.503159,0.091218,0.203126,0.016413,,,,,,,,,
NW,2.0,112.0,319.693214894,0.574395252778,5.87730847964e+17,319.69339205,0.57396916,23.114401,0.69895,21.841415,0.093777,20.329124,0.035982,19.694471,0.034029,19.140896,0.071805,0.321453,0.068007,,,,,,c319p70+0p56,0.0,0.26207,0.00015
NW,2.0,153.0,319.688339896,0.569200808333,5.87730847964e+17,319.68853697,0.56956984,24.042891,1.38755,21.548498,0.07777,20.628256,0.048299,19.98583,0.045673,19.563448,0.108068,0.094449,0.029596,,,,,,,,,
NW,2.0,209.0,319.684339899,0.562284141667,5.87730847964e+17,319.68453946,0.5618284,23.686562,1.372154,20.864668,0.051343,19.242064,0.020033,18.625582,0.019425,18.228291,0.041597,0.273402,0.015343,,,,,,c319p70+0p56,0.0,0.26878,0.00013
NW,3.0,149.0,319.681256563,0.568589697222,5.87730847964e+17,319.68121145,0.56846497,23.371031,1.06897,21.920473,0.124048,20.526276,0.051858,20.017433,0.055687,19.71167,0.147287,0.208625,0.059912,,,,,,,,,
NW,3.0,161.0,319.676298231,0.566839697222,5.87730847964e+17,319.67601718,0.56726268,23.657036,0.939845,21.781771,0.080676,20.305119,0.032039,19.707211,0.03124,19.269962,0.073062,0.225553,0.017213,,,,,,c319p70+0p56,0.0,0.27353,0.00018
NW,3.0,191.0,319.678339899,0.563423030556,5.87730847964e+17,319.67821763,0.56364149,22.381063,0.430479,21.973318,0.11891,20.722853,0.057173,20.276869,0.063528,19.9506,0.204723,0.321216,0.111126,,,,,,,,,
NW,3.0,218.0,319.6743399,0.559950808333,5.87730847964e+17,319.67406956,0.56012264,21.819065,0.317775,20.1563,0.030832,19.077564,0.017991,18.584387,0.020078,18.195375,0.043242,0.157123,0.022089,,,,,,c319p70+0p56,0.0,0.16437,0.00014
