tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift
NE,1.0,70.0,16.2506316918,0.0798396972222,5.88015509276e+17,16.25095657,0.08009885,22.978352,1.032272,20.799847,0.048765,19.424837,0.024388,18.873993,0.023968,18.715052,0.086302,0.208513,0.026101,,,,,,,
NE,1.0,94.0,16.2405900254,0.0763396972222,5.88015509276e+17,16.24051812,0.07679443,21.892361,0.444702,20.608747,0.045158,20.087662,0.043437,19.835562,0.057171,19.758354,0.243558,0.034386,0.020954,,,,,,,
NE,1.0,176.0,16.230590026,0.0660341416667,5.88015509276e+17,16.23084491,0.06600662,26.377329,0.603041,21.959135,0.093283,20.473406,0.038667,19.896334,0.037013,19.566975,0.120197,0.25854,0.021325,,,,,,,
NE,1.0,195.0,16.2396316927,0.0642563638889,5.88015509276e+17,16.23942757,0.0644518,23.960007,1.78372,21.885818,0.115418,20.83486,0.066424,20.512905,0.085572,19.894987,0.214489,0.115991,0.0204,,,,,,c16p23+0p06,0.26584
NE,1.0,223.0,16.2376316929,0.0608396972222,5.88015509276e+17,16.23723991,0.06100216,23.277719,1.280746,20.950687,0.053058,19.381058,0.021261,18.76218,0.01998,18.580576,0.074303,0.285152,0.025079,,,,,,c16p23+0p06,0.26932
NE,2.0,42.0,16.251590025,0.0826730305556,5.88015509276e+17,16.25187208,0.08261433,26.184013,1.008116,21.105944,0.061753,19.802155,0.030453,19.196697,0.029078,18.805613,0.090935,0.235363,0.035624,,,,,,c16p23+0p06,0.27717
NE,2.0,168.0,16.2426316926,0.0672008083333,5.88015509276e+17,16.24269869,0.06739715,25.530676,1.790006,21.154064,0.069458,19.750202,0.032943,19.153694,0.033808,18.545807,0.077173,0.278634,0.049968,,,,,,,
NE,2.0,186.0,16.249590026,0.0655063638889,5.88015509276e+17,16.24981016,0.06598115,22.328352,0.487622,21.306557,0.062846,20.43322,0.04416,20.259529,0.060979,20.506523,0.341212,0.05232,0.056173,,,,,,,
NE,2.0,213.0,16.2456316929,0.0620063638889,5.88015509276e+17,16.24610529,0.06193501,22.880707,0.788042,21.504244,0.075374,20.090933,0.033286,19.490253,0.031426,19.21706,0.10773,0.251167,0.042204,,,,,,,
NE,2.0,216.0,16.2516316929,0.0620341416667,5.88015509276e+17,16.25202953,0.06241728,21.051352,0.249821,19.444992,0.020481,18.846342,0.018276,18.531755,0.022037,18.366333,0.085136,0.050839,0.028054,,,,,,,
