tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,ra_x,dec_x,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,ra_y,dec_y,Photoz,Photoz_err,cluster,Q,redshift,redshift_err
SE,3.0,57.0,328.361715014,0.185256363889,5.87734304876e+17,328.3616901,0.18507561,328.3616901,0.18507561,22.705093,0.596052,20.933092,0.041463,19.538658,0.0207,18.999987,0.020217,18.609898,0.055238,328.3616901,0.18507561,0.205851,0.015439,c328p33+0p19,0.0,0.21427,0.00011
SE,3.0,61.0,328.340798347,0.183534141667,5.87734304876e+17,328.34050075,0.18344759,328.34050075,0.18344759,24.418648,1.684047,21.703943,0.075424,20.3699,0.037852,19.847252,0.034871,19.416594,0.102713,328.34050075,0.18344759,0.183196,0.011072,c328p33+0p19,0.0,0.21438,0.00012
SW,1.0,51.0,328.322840014,0.186339697222,5.87734304876e+17,328.32243496,0.18623391,328.32243496,0.18623391,22.054672,0.464716,20.503771,0.039138,19.130772,0.020241,18.559282,0.017883,18.197807,0.053131,328.32243496,0.18623391,0.224516,0.034488,c328p33+0p19,0.0,0.21893,7e-05
SW,1.0,174.0,328.336840016,0.172534141667,5.87734304876e+17,328.33722442,0.17279183,328.33722442,0.17279183,21.3561,0.234745,20.890514,0.050757,19.864309,0.033256,19.439486,0.033982,19.027407,0.105264,328.33722442,0.17279183,0.29139,0.051732,c328p33+0p19,0.0,0.3719,7e-05
SW,2.0,35.0,328.318798347,0.187450808333,5.87734304876e+17,328.31855718,0.18702371,328.31855718,0.18702371,21.854885,0.502448,21.434177,0.109866,20.827938,0.104427,20.798006,0.151872,21.786072,1.514639,328.31855718,0.18702371,0.072015,0.07725,,,,
SW,2.0,56.0,328.33175668,0.185756363889,5.87734304876e+17,328.33212448,0.18559988,328.33212448,0.18559988,24.596615,1.575604,21.713387,0.070304,20.307226,0.033447,19.723167,0.029192,19.369812,0.091181,328.33212448,0.18559988,0.210477,0.01514,,,,
SW,2.0,133.0,328.311840015,0.175506363889,5.87734304876e+17,328.31177105,0.17593367,328.31177105,0.17593367,24.352442,2.054754,21.727188,0.094316,20.799818,0.06797,20.424049,0.071938,19.663195,0.164483,328.31177105,0.17593367,0.093236,0.042092,c328p33+0p19,0.0,0.20849,0.00017
SW,3.0,41.0,328.331715014,0.186923030556,5.87734304876e+17,328.3314515,0.18721282,328.3314515,0.18721282,24.016455,1.634708,21.246347,0.056428,19.835625,0.027123,19.309,0.024933,18.957008,0.077859,328.3314515,0.18721282,0.205494,0.015296,c328p33+0p19,0.0,0.21378,8e-05
,,,,,5.87731186727e+17,,,328.33243116,0.22218173,23.402258,1.082883,21.694693,0.084432,20.519466,0.048617,19.829714,0.040213,19.334412,0.123551,328.33243116,0.22218173,0.149384,0.033074,,,,
,,,,,5.87734304876e+17,,,328.31648368,0.17540594,22.211075,0.699441,20.880913,0.068883,20.383078,0.071078,20.165115,0.087903,19.481564,0.216099,328.31648368,0.17540594,0.056616,0.030208,,,,
