tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift
NE,1.0,6.0,210.266858819,2.90522236111,1.23765173738e+18,210.266762325,2.90573665884,22.94173,0.6801897,20.49292,0.03678862,19.0145,0.01684575,18.47611,0.01707796,18.03897,0.03991427,0.247323,0.015696,,,,,,,
NE,1.0,16.0,210.257817155,2.90350013889,1.23765173738e+18,210.257382629,2.90383489382,23.16866,0.6835387,21.85762,0.09664392,20.37379,0.04329633,19.91593,0.04736337,19.32423,0.1010373,0.344355,0.054553,,,,,,,
NE,1.0,102.0,210.255900506,2.89313902778,1.23765173738e+18,210.255826109,2.89320873199,18.10408,0.01798565,15.31357,0.002976974,14.02527,0.002550621,13.43843,0.002774045,13.18132,0.003842236,0.187926,0.013391,,,,,,,
NE,1.0,123.0,210.268817175,2.89152791667,1.23765173738e+18,210.268378097,2.8916547317,23.36469,0.7553099,21.20052,0.05383971,19.70444,0.0242891,19.21096,0.02543346,18.92546,0.06912588,0.235262,0.015346,,,,,,,
NE,1.0,211.0,210.270900526,2.88108347222,1.23765175456e+18,210.271108914,2.88141347472,21.7625,0.3533324,20.35855,0.04422503,19.02491,0.02087389,18.56685,0.02195108,18.35835,0.06368123,0.269782,0.052158,,,,,,,
NE,2.0,29.0,210.282775489,2.90297236111,1.23765173738e+18,210.282882458,2.90243877161,22.70874,0.4778678,21.56104,0.08077984,20.65886,0.05412881,20.425,0.07392855,20.34366,0.2499014,0.321686,0.09997,,,,,,,
NE,2.0,43.0,210.281817159,2.90130569444,1.23765173738e+18,210.282010281,2.90105694579,22.24346,0.3024957,21.06145,0.04633428,20.20045,0.03424966,19.8767,0.0424456,19.61511,0.1196684,0.190162,0.057328,,,,,,,
NE,2.0,64.0,210.265817164,2.89777791667,1.23765173738e+18,210.26538138,2.89795445423,23.12118,0.5964227,21.88997,0.08987008,20.48043,0.04337633,19.96026,0.04454189,19.64651,0.1199095,0.296748,0.054776,,,,,,,
NE,2.0,222.0,210.262858863,2.87883347222,1.23765175456e+18,210.263058619,2.87916720204,22.62801,0.5205079,20.24269,0.02897961,18.66197,0.01189242,18.14974,0.01171352,17.91181,0.03075469,0.283384,0.022344,,,,,,,
NE,3.0,63.0,210.264775499,2.89727791667,1.23765173738e+18,210.264482682,2.89736426613,22.31028,0.4033958,20.21348,0.0299162,18.68324,0.01338125,18.14981,0.013546,17.8105,0.03362582,0.257117,0.014037,,,,,,,
