tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
,,,,,1.23766744888e+18,,,21.54529,0.2674003,20.37335,0.05366111,19.66529,0.04087143,19.55504,0.05049967,19.57032,0.1610243,0.184721,0.091732,,,,,,,,,
,,,,,1.23766744888e+18,,,21.42029,0.1537167,19.70203,0.01629571,18.68925,0.01143273,18.2932,0.01229935,17.97115,0.03050311,0.134804,0.013541,,,,,,,,,
,,,,,1.23766744888e+18,,,21.56287,0.1930904,21.04268,0.04963797,20.2513,0.04126971,20.01252,0.05520442,19.66743,0.1482828,0.342611,0.048888,,,,,,,,,
,,,,,1.23766744888e+18,,,23.20289,0.6295458,21.34587,0.05248847,20.44699,0.03988542,20.14583,0.04845595,19.84176,0.1355218,0.113211,0.025522,,,,,,,,,
,,,,,1.23766744888e+18,,,22.5646,0.5076192,21.51133,0.0842331,20.8147,0.0771066,20.0408,0.06208468,19.35099,0.1235708,0.554371,0.205517,,,,,,,,,
,,,,,1.23766744888e+18,,,22.87811,0.461713,21.81639,0.07423937,21.16627,0.07272154,21.0883,0.1061181,20.60877,0.2608548,0.220963,0.135336,,,,,,,,,
,,,,,1.23766744888e+18,,,22.80168,0.4362191,21.86346,0.07099783,20.80371,0.0479429,20.41307,0.05357774,20.12056,0.1533811,0.29431,0.055538,,,,,,,,,
,,,,,1.23766744888e+18,,,25.02813,0.8796607,21.60455,0.05180127,19.9083,0.02126197,19.37785,0.02094116,19.10653,0.05731213,0.30116,0.022454,,,,,,,,,
,,,,,1.23766744888e+18,,,22.2955,0.3138583,21.79329,0.08232319,20.92715,0.06516963,20.88975,0.1038757,20.90628,0.3860373,0.322723,0.113943,,,,,,,,,
,,,,,1.23766744888e+18,,,21.15636,0.2204682,21.03356,0.08025333,20.22598,0.06665462,19.98965,0.09088424,19.72282,0.2649727,0.393312,0.118936,,,,,,,,,
,,,,,1.23766744888e+18,,,22.52288,0.4892931,21.76332,0.1018507,20.67597,0.06635959,20.41996,0.08688771,20.24396,0.2753321,0.392581,0.063229,,,,,,,,,
,,,,,1.23766744888e+18,,,20.945,0.4289633,20.79254,0.1532417,22.02648,0.8224099,25.31943,4.267996,24.64878,2.041058,0.07787,-1000.0,,,,,,,,,
,,,,,1.23766744888e+18,,,20.24436,0.06104029,18.50503,0.007899537,17.63217,0.00615795,17.23655,0.006485899,16.93514,0.01426858,0.086842,0.016348,2.99619152638e+18,194.25189,25.822039,0.07831309,2.090382e-05,,,,
,,,,,1.23766744888e+18,,,22.373,0.3704949,21.846,0.09504708,21.00486,0.08421752,20.53123,0.08264362,20.53476,0.3162716,0.424343,0.156686,,,,,,,,,
,,,,,1.23766744888e+18,,,21.97515,0.3672008,21.31109,0.08384629,20.43163,0.06353629,20.11312,0.07869598,20.11904,0.3045867,0.329497,0.127713,,,,,,,,,
,,,,,1.23766791274e+18,,,22.43672,0.3791883,21.90123,0.07888494,21.13026,0.06212147,20.84424,0.07203789,20.16215,0.1428931,0.408203,0.147997,,,,,,,,,
,,,,,1.23766791274e+18,,,23.59123,0.8838111,21.92455,0.07628492,21.01655,0.05305671,20.71611,0.06104577,20.45156,0.1716603,0.173341,0.022742,,,,,,,,,
,,,,,1.23766791274e+18,,,22.06664,0.2591157,21.689,0.06405129,20.55602,0.03624108,20.17476,0.03815869,19.74408,0.09405203,0.382781,0.061765,,,,,,,,,
,,,,,1.23766791274e+18,,,21.1893,0.1691675,20.54344,0.03445443,19.52094,0.02381654,19.16481,0.02442859,18.80474,0.06105565,0.363808,0.056945,,,,,,,,,
,,,,,1.23766791274e+18,,,22.88203,0.6451489,21.59481,0.07403445,21.19405,0.08750276,20.76588,0.08339665,20.69184,0.2735334,0.071694,0.023379,,,,,,,,,
