tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NE,3.0,219.0,234.233967527,24.40861125,1.23766510222e+18,234.234388446,24.4087774775,21.05174,0.2027925,18.86245,0.01387591,17.35691,0.006730056,16.80572,0.005917266,16.42493,0.01350852,0.243164,0.011743,2.43769046202e+18,234.23439,24.408777,0.226277,4.083399e-05,c234p2+24p4,0.0,0.22617,0.00013,1.97151540511e-05,NO,-298.611834454
NW,1.0,116.0,234.232883949,24.4235279167,1.23766510222e+18,234.232317237,24.4237186962,22.02749,0.2828991,20.34895,0.02801009,18.89797,0.01351088,18.36186,0.01167693,17.94576,0.02773125,0.235547,0.021739,,,,,,c234p2+24p4,1.0,0.27057,0.0001,0.224684945607,YES,10517.4590485
NW,1.0,148.0,234.207592367,24.41836125,1.23766510222e+18,234.20757468,24.4180450572,22.76285,0.4230149,20.91153,0.03572673,20.02326,0.02614871,19.53576,0.02302693,19.27991,0.0673064,0.079438,0.026603,,,,,,c234p2+24p4,0.0,0.22245,0.00013,0.337060049759,YES,-1204.8231787
NW,2.0,26.0,234.225133787,24.43336125,1.23766510222e+18,234.22544438,24.4330849317,21.93354,0.1957812,21.30203,0.04590786,20.79241,0.04591568,20.49815,0.04710937,20.18859,0.1360343,0.200577,0.073351,,,,,,c234p2+24p4,0.0,0.22977,5e-05,0.339070717809,NO,578.366885785
NW,3.0,44.0,234.202092187,24.4292779167,1.23766510222e+18,234.202617372,24.429384582,21.81515,0.267116,21.83194,0.1066694,21.2911,0.1072778,21.21465,0.1504192,21.09915,0.4743456,0.345905,0.157879,,,,,,c234p2+24p4,1.0,0.33408,0.00012,0.613063404852,YES,25988.8253047
NW,3.0,210.0,234.216342499,24.4103334722,1.23766510222e+18,234.216767858,24.4100269159,22.45535,0.3122457,21.14598,0.04137652,19.78015,0.02100124,19.32069,0.01889457,18.9182,0.04742775,0.289926,0.064883,,,,,,c234p2+24p4,0.0,0.22812,0.00013,0.211733485635,NO,176.418305675
SE,1.0,48.0,234.240509278,24.4035001389,1.23766510222e+18,234.240053771,24.4033849644,23.35115,0.6702341,20.8511,0.03408841,19.42673,0.01679286,18.88995,0.01433579,18.56916,0.03716754,0.224636,0.015098,,,,,,c234p2+24p4,0.0,0.22153,0.00016,0.0960028809758,NO,-1428.93996276
SE,1.0,64.0,234.243800973,24.4017501389,1.23766510222e+18,234.244190923,24.4013354086,22.73123,0.3338055,21.47558,0.04685107,20.05651,0.02288427,19.54949,0.0196481,19.18351,0.05045351,0.300363,0.051841,,,,,,c234p2+24p4,1.0,0.21235,0.00012,0.144728998896,YES,-3665.23569937
SE,2.0,80.0,234.245967676,24.3995556944,1.23766510222e+18,234.246076011,24.3993432948,23.80772,0.8650817,20.69934,0.02945436,19.23749,0.01439957,18.70733,0.01246459,18.40837,0.03162208,0.234268,0.016522,,,,,,c234p2+24p4,0.0,0.22795,0.00019,0.18698148243,NO,135.005421664
SE,2.0,95.0,234.247051039,24.3977501389,1.23766510222e+18,234.247473661,24.3977369336,22.5447,0.4085145,20.86654,0.03906701,19.35285,0.01777844,18.81567,0.0152656,18.45021,0.03854578,0.251046,0.021342,,,,,,c234p2+24p4,1.0,0.1244,0.0002,0.13057958355,YES,-25090.3130452
SE,3.0,108.0,234.244926076,24.3954723611,1.23766510222e+18,234.244618378,24.395965562,21.84356,0.3800424,19.20794,0.01673266,17.69747,0.007943643,17.15402,0.006992181,16.80884,0.01674425,0.245438,0.015255,2.43769183641e+18,234.24462,24.395965,0.2243999,4.398453e-05,c234p2+24p4,0.0,0.22347,0.00017,0.205146723721,NO,-956.345874634
SW,1.0,66.0,234.218592639,24.4018056944,1.23766510222e+18,234.218697098,24.4023215551,22.9318,0.5082824,21.73463,0.07264389,20.28884,0.03344297,19.80602,0.02944282,19.56094,0.08830668,0.326121,0.067824,,,,,,c234p2+24p4,1.0,0.1248,0.00013,0.126405820583,YES,-24992.8709652
SW,1.0,142.0,234.226259447,24.3931945833,1.23766510222e+18,234.226128695,24.3937153483,22.44525,0.2561518,21.55159,0.04873482,20.14861,0.02393434,19.58076,0.01964595,19.23179,0.05095194,0.345745,0.059638,,,,,,c234p2+24p4,0.0,0.25456,0.00011,0.240336215607,YES,6617.33979543
SW,2.0,185.0,234.224092875,24.3874445833,1.23766510222e+18,234.223573085,24.3875940792,25.7821,0.8534209,20.89288,0.0407306,19.5791,0.02125639,19.1229,0.01924925,18.85744,0.05495276,0.198113,0.031287,,,,,,c234p2+24p4,0.0,0.22394,0.0002,0.303044759238,YES,-841.851430603
SW,3.0,65.0,234.216384324,24.4006668056,1.23766510222e+18,234.216651757,24.4007297309,23.58019,0.6565139,21.55334,0.05080845,20.31138,0.02809628,19.70614,0.02234531,19.51483,0.06718838,0.207571,0.024516,,,,,,c234p2+24p4,1.0,0.22012,7e-05,0.231049241085,YES,-1772.42329486
