tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV,LOSV_err
NE,1.0,21.0,260.624518973,32.15761125,1.2376655693e+18,260.624244954,32.1581145516,22.75885,0.5666258,21.17275,0.0711435,20.19603,0.0399259,19.99267,0.04713167,20.0315,0.1837003,0.316735,0.149482,,,,,,c260p61+32p13,0.0,0.10144,0.00041,0.183125268648,YES,-30317.6146372,200.028649765
NE,1.0,29.0,260.643352305,32.1576668056,1.2376655693e+18,260.643390194,32.1571461885,23.1403,0.6553432,20.5803,0.03596807,19.67733,0.02191953,19.35016,0.023556,19.01276,0.06374729,0.119298,0.036338,,,,,,c260p61+32p13,0.0,0.23209,7e-05,0.473249082715,NO,1552.80376747,34.1512328868
NE,2.0,32.0,260.61501903,32.1553056944,1.2376655693e+18,260.615129922,32.1550472878,22.67988,0.3680938,21.30632,0.05328951,19.75578,0.01988591,19.27136,0.01873862,18.91384,0.04839759,0.333125,0.069636,,,,,,c260p61+32p13,0.0,0.22,0.00016,0.289039449624,YES,-1396.39912968,78.059960884
NE,2.0,62.0,260.617435779,32.1519168056,1.2376655693e+18,260.617404909,32.1516502295,21.4483,0.2084088,20.2375,0.03483102,19.38025,0.02283392,18.98596,0.02335871,18.73919,0.07018536,0.194881,0.02925,,,,,,c260p61+32p13,1.0,0.22457,7e-05,0.25280125176,NO,-281.605313304,34.1512328868
NE,2.0,179.0,260.619811116,32.1381668056,1.2376655693e+18,260.620398765,32.1379952928,24.04568,0.9483265,21.19302,0.04850687,19.85741,0.02110138,19.30491,0.01900754,19.06632,0.05402289,0.20791,0.014955,,,,,,c260p61+32p13,1.0,0.23318,0.00019,0.108914196955,NO,1818.69550923,92.6962035498
NE,3.0,42.0,260.639852375,32.1548334722,1.2376655693e+18,260.639610671,32.1551411938,22.5142,0.3176745,20.95298,0.04066132,20.34827,0.03066813,19.98316,0.03219391,19.84707,0.1060265,0.072485,0.026432,,,,,,c260p61+32p13,1.0,0.23184,9e-05,0.423661492899,NO,1491.81942303,43.9087279973
NE,3.0,73.0,260.610352501,32.1496668056,1.2376655693e+18,260.610174385,32.1496391532,23.65717,0.9051149,20.62331,0.0352633,19.12396,0.01418269,18.60369,0.01295266,18.25112,0.03207895,0.258747,0.021498,,,,,,c260p61+32p13,0.0,0.20842,7e-05,0.21245129298,YES,-4221.19396417,34.1512328868
NE,3.0,98.0,260.635102542,32.1479723611,1.2376655693e+18,260.635594929,32.1478177391,23.12188,0.4957634,21.92539,0.08307905,20.49731,0.03216558,20.00113,0.03039421,19.81476,0.09515801,0.318638,0.082419,,,,,,c260p61+32p13,1.0,0.21002,0.00033,0.300646337876,YES,-3830.89415975,160.998669323
NE,3.0,102.0,260.610394253,32.1461668056,1.2376655693e+18,260.609909681,32.1459196936,23.52687,0.7244031,21.18556,0.04939877,19.75853,0.02011726,19.24653,0.01855312,18.88176,0.04757632,0.226024,0.015166,,,,,,c260p61+32p13,0.0,0.16829,9e-05,0.141588705264,YES,-14010.4009338,43.9087279973
NE,3.0,128.0,260.637519293,32.1445556944,1.2376655693e+18,260.637383278,32.1440969694,21.0683,0.1352513,19.91592,0.02439137,19.3392,0.01978561,19.07356,0.02222503,18.97806,0.07430349,0.098703,0.039331,,,,,,c260p61+32p13,1.0,0.23154,9e-05,0.312789272893,YES,1418.6382097,43.9087279973
NE,3.0,167.0,260.626936086,32.13936125,1.2376655693e+18,260.626449376,32.1390024632,22.73327,0.5843074,21.20151,0.07314218,19.86475,0.03086272,19.30864,0.02793531,19.02586,0.08064733,0.234476,0.027491,,,,,,c260p61+32p13,1.0,0.29088,0.00024,0.203040472425,YES,15893.8822061,117.089941326
NE,3.0,219.0,260.61276959,32.1323890278,1.2376655693e+18,260.613270546,32.1325695633,19.69085,0.1974877,16.89119,0.01020605,15.37805,0.004076981,14.86524,0.003795868,14.51157,0.008368341,0.240586,0.013939,3.34858830308e+18,260.61327,32.132572,0.2232633,4.148207e-05,c260p61+32p13,0.0,0.2226,0.00016,0.000117337878386,NO,-762.161947496,78.059960884
NW,1.0,102.0,260.575352622,32.1447223611,1.2376655693e+18,260.575667749,32.1451391048,22.21489,0.3137669,20.25347,0.02862867,18.84053,0.01254422,18.30518,0.01138067,17.97066,0.02830116,0.224099,0.012212,,,,,,c260p61+32p13,0.0,0.22279,0.00013,0.443221060316,NO,-715.813845721,63.4237182183
NW,1.0,200.0,260.60126954,32.1344445833,1.2376655693e+18,260.601469868,32.1346511873,24.85956,1.372862,21.75401,0.09838722,20.42099,0.04127592,19.73194,0.03304626,19.35408,0.08947021,0.276904,0.07328,,,,,,c260p61+32p13,1.0,0.27443,9e-05,0.154153143528,YES,11881.1123419,43.9087279973
NW,1.0,205.0,260.57881125,32.1326668056,1.2376655693e+18,260.578971624,32.1327296313,21.95471,0.2379718,20.9651,0.04823823,19.67242,0.02173497,19.09683,0.0192872,18.82906,0.05411201,0.334704,0.076616,,,,,,c260p61+32p13,0.0,0.2275,9e-05,0.382080257646,NO,433.13120354,43.9087279973
