tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV,LOSV_err
NW,2.0,103.0,210.22973384,2.89255569444,1.23765173738e+18,210.22977689,2.89261528453,22.07811,0.3333973,21.91079,0.122552,21.44335,0.1334107,20.89012,0.136477,20.93453,0.5097459,0.580034,0.202079,,,,,,c210p27+2p87,1.0,0.16419,0.0003,0.322146048648,YES,-21563.0852955,142.985379382
NW,2.0,119.0,210.232733843,2.89088902778,1.23765175456e+18,210.233203446,2.89093564893,24.70125,1.376822,21.86076,0.09249764,20.33873,0.03793217,19.92104,0.03984781,19.63556,0.1142317,0.299985,0.024544,,,,,,c210p27+2p87,1.0,0.30842,0.00027,0.45737694977,YES,12808.2168182,128.686841444
NW,2.0,127.0,210.248692176,2.89094458333,1.23765175456e+18,210.249231572,2.89074739633,21.42073,0.2066174,20.21306,0.0310879,19.29085,0.02082101,18.94901,0.02399931,18.59173,0.06101415,0.269944,0.042834,,,,,,c210p27+2p87,1.0,0.27232,8e-05,0.227858763901,YES,4205.26315877,38.1294345019
NW,3.0,13.0,210.253692154,2.90419458333,1.23765173738e+18,210.253133423,2.90403799458,22.56473,0.9962825,19.47268,0.02889206,17.95965,0.0126833,17.48673,0.01377412,17.15583,0.03604095,0.235958,0.016947,4.5409080705e+18,210.25313,2.9040397,0.2489613,5.54098e-05,c210p27+2p87,1.0,0.24917,0.00017,0.366599598139,NO,-1311.58939572,81.0250483164
NW,3.0,62.0,210.235733832,2.89722236111,1.23765173738e+18,210.235277784,2.89697937913,22.86714,0.5989655,21.81192,0.1038927,20.53448,0.05558534,19.98489,0.05642406,19.45797,0.1282501,0.348732,0.061583,,,,,,c210p27+2p87,1.0,0.3932,0.00014,0.565482463259,YES,33012.0509249,66.7265103782
NW,3.0,95.0,210.243692171,2.89377791667,1.23765173738e+18,210.243992118,2.89399359648,25.64174,0.7711931,21.5942,0.06609254,20.02711,0.02788861,19.4731,0.0277895,19.03298,0.0658457,0.269859,0.022555,,,,,,c210p27+2p87,1.0,0.23634,0.0001,0.28434500244,YES,-4369.09342484,47.6617931273
NW,3.0,98.0,210.249733838,2.89383347222,1.23765173738e+18,210.249760121,2.89361236483,23.08634,0.5166482,21.55795,0.06093263,20.6346,0.04413543,20.14067,0.04626742,20.1642,0.1676977,0.443878,0.144869,,,,,,c210p27+2p87,1.0,0.47835,5e-05,0.3729778115,YES,53304.0593489,23.8308965637
NW,3.0,138.0,210.242733846,2.88863902778,1.23765175456e+18,210.243133688,2.88897122109,23.64574,1.640736,20.23047,0.03867504,18.68772,0.01587716,18.1642,0.01555899,17.71367,0.03595309,0.262933,0.020198,,,,,,c210p27+2p87,0.0,0.2557,0.00021,0.263026773203,NO,244.568149885,100.089765567
NW,3.0,168.0,210.244775519,2.88522236111,1.23765175456e+18,210.245102904,2.88538268262,20.74727,0.1558736,19.66276,0.02766272,18.6109,0.01628306,18.15853,0.01738397,17.75087,0.04193227,0.278924,0.052464,,,,,,c210p27+2p87,0.0,0.23212,0.00014,0.197299103084,YES,-5374.75725983,66.7265103782
NW,3.0,211.0,210.243775527,2.87994458333,1.23765175456e+18,210.244272438,2.87974171048,22.95171,0.7514054,20.8897,0.05401144,20.02344,0.03767372,19.59311,0.04016304,19.41142,0.1249846,0.085074,0.023929,,,,,,c210p27+2p87,1.0,0.14634,0.00018,0.128942753273,YES,-25816.9003321,85.7912276292
SE,1.0,90.0,210.260650547,2.86800013889,1.23765175456e+18,210.260903564,2.86783258705,24.64022,1.341563,20.7408,0.03587573,19.18736,0.01479985,18.68748,0.01457124,18.3381,0.03604384,0.266596,0.023725,,,,,,c210p27+2p87,1.0,0.26391,0.00019,0.161868889063,NO,2201.08475776,90.5574069419
SE,1.0,234.0,210.258608909,2.85072236111,1.23765175456e+18,210.258403719,2.85106595348,22.28956,0.3481725,21.80388,0.09532447,21.20075,0.08272,21.13098,0.1213651,20.52976,0.2689603,0.311451,0.040435,,,,,,c210p27+2p87,1.0,0.28295,0.00018,0.423963449066,YES,6738.48746348,85.7912276292
