tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NE,1.0,14.0,203.862413016,41.0267501389,1.23766230672e+18,203.862518086,41.0267223675,24.30209,0.7771495,21.8421,0.06222472,20.46995,0.02916525,19.91439,0.02789407,19.69565,0.1004603,0.242741,0.035799,,,,,,c203p83+41p0,1.0,0.20192,0.0003,0.401930253761,YES,-6125.00722752
NE,1.0,111.0,203.850538474,41.0146945833,1.23766230672e+18,203.850738999,41.0150458672,22.53083,0.2730153,21.15081,0.03865311,20.09699,0.02368428,19.59985,0.02370049,19.33884,0.0830062,0.20919,0.024916,,,,,,c203p83+41p0,1.0,0.11775,0.00013,0.145085731625,YES,-26634.9314668
NE,1.0,154.0,203.849288671,41.0095279167,1.23766230672e+18,203.849391399,41.0092206568,23.19738,0.5872992,20.54949,0.02950015,19.28464,0.01586207,18.86443,0.01656304,18.40397,0.04692092,0.183703,0.013588,,,,,,c203p83+41p0,0.0,0.22139,0.00017,0.184139081339,NO,-1380.70135918
NE,2.0,6.0,203.839996373,41.0261390278,1.23766230672e+18,203.840739963,41.0261547816,23.11905,0.5165455,21.54791,0.06134805,20.37656,0.03345444,20.04733,0.0387423,20.01882,0.1740776,0.227563,0.071251,,,,,,c203p83+41p0,1.0,0.16906,0.00021,0.265692214517,YES,-14132.0894481
NE,2.0,14.0,203.861079704,41.0261945833,1.23766230672e+18,203.860970024,41.025852654,22.94383,0.3621446,21.33969,0.04155665,20.94947,0.04250396,20.79237,0.05731483,21.32602,0.4113278,0.044197,0.042328,,,,,,c203p83+41p0,0.0,0.04031,0.00027,0.0923108673009,YES,-45504.9389883
NE,2.0,63.0,203.837246632,41.0193056944,1.23766230672e+18,203.837491737,41.0190277612,21.19069,0.1941375,19.13342,0.01606839,17.89726,0.009110067,17.46273,0.009395971,17.16974,0.02932981,0.199394,0.015744,,,,,,c203p83+41p0,0.0,0.23811,0.0001,0.245995982565,YES,2693.50481024
NE,3.0,22.0,203.845246459,41.02386125,1.23766230672e+18,203.845332755,41.0235019063,23.85611,0.7696962,20.99516,0.03828963,19.75828,0.0197382,19.17293,0.01866959,18.94497,0.06531595,0.218227,0.040056,,,,,,c203p83+41p0,0.0,0.23857,0.00027,0.326691347952,YES,2805.59421443
NE,3.0,25.0,203.853163126,41.02386125,1.23766230672e+18,203.852790576,41.0239487163,22.4583,0.2870599,20.85887,0.0342995,19.54343,0.01747972,19.11609,0.01816081,18.71994,0.05456066,0.232991,0.033613,,,,,,c203p83+41p0,0.0,0.14439,0.00012,0.245990783481,YES,-20143.4929289
NE,3.0,73.0,203.82674672,41.0170001389,1.23766230672e+18,203.82686424,41.0168336026,21.35369,0.1934406,20.01688,0.03012479,19.62733,0.03227403,19.33206,0.03924408,19.18431,0.1473496,0.062698,0.015323,,,,,,c203p83+41p0,0.0,0.0779,6e-05,0.0877071624352,YES,-36345.2852857
NE,3.0,106.0,203.83737185,41.0135834722,1.23766230672e+18,203.837323678,41.0139435091,23.55438,0.7360366,20.20648,0.03009711,18.82695,0.01340182,18.32364,0.03270292,17.99351,0.03327828,0.221753,0.017104,,,,,,c203p83+41p0,0.0,0.22354,0.00016,0.169478729438,NO,-856.805230935
NE,3.0,147.0,203.830705383,41.0083334722,1.23766230672e+18,203.830588903,41.0088414911,23.72295,0.8943161,20.78741,0.03733851,19.48155,0.01913801,18.99945,0.01934857,18.74661,0.0660172,0.201506,0.017988,,,,,,c203p83+41p0,0.0,0.238,0.00015,0.109329042142,YES,2666.70082229
NE,3.0,185.0,203.85458051,41.0049723611,1.23766230672e+18,203.854125163,41.0050188929,22.76795,0.3436307,21.28513,0.04397428,20.50911,0.0333231,20.1051,0.03626836,19.80493,0.1254223,0.070076,0.024592,,,,,,c203p83+41p0,1.0,0.18865,0.00017,0.180247702181,YES,-9358.54286558
NE,3.0,206.0,203.83337231,41.0014723611,1.23766230672e+18,203.833732494,41.00114484,20.04226,0.1079811,17.93587,0.00915489,16.39163,0.004500995,15.86946,0.004327438,15.52125,0.01125991,0.262651,0.012892,5.30094906286e+18,203.83372,41.001146,0.2283087,3.139327e-05,c203p83+41p0,1.0,0.22736,7e-05,0.000124658691884,NO,74.0241690174
NE,3.0,210.0,203.843872311,41.0014445833,1.23766230672e+18,203.843869107,41.0013897943,24.05069,0.9940875,21.07509,0.04448472,19.58604,0.0195372,19.08265,0.01940741,18.78417,0.06387792,0.265788,0.022401,,,,,,c203p83+41p0,1.0,0.22415,0.0001,0.0994761806741,NO,-708.164934084
NW,1.0,127.0,203.818871872,41.0130001389,1.23766230672e+18,203.818270412,41.0131479016,21.36386,0.2907842,18.86281,0.01577607,17.43057,0.007754348,16.9326,0.007658666,16.57532,0.02227705,0.23105,0.011054,1.64845165589e+18,203.81826,41.013161,0.2380925,5.570007e-05,c203p83+41p0,0.0,0.23771,0.00014,0.227036419367,YES,2596.03576313
NW,1.0,167.0,203.809705402,41.0078334722,1.23766230672e+18,203.810004054,41.0082590215,22.60904,0.3041517,21.12618,0.03927963,19.69437,0.01831149,19.2057,0.01812852,18.9237,0.05962044,0.293506,0.044428,,,,,,c203p83+41p0,0.0,0.23334,0.00024,0.257710060155,NO,1531.18642339
NW,2.0,27.0,203.821538103,41.0244723611,1.23766230672e+18,203.821736928,41.0242386135,22.2133,0.2587349,21.44757,0.05904744,20.20768,0.03099903,19.80163,0.03418547,19.53151,0.1226818,0.37578,0.063772,,,,,,c203p83+41p0,0.0,0.15116,0.00024,0.235076071422,YES,-18493.8293065
NW,2.0,63.0,203.801621631,41.0193334722,1.23766230672e+18,203.802025006,41.019603781,20.64552,0.08774781,19.54594,0.01587958,18.83542,0.01394445,18.44315,0.01489809,18.20718,0.05212356,0.160434,0.023211,,,,,,c203p83+41p0,0.0,0.16379,9e-05,0.305980007008,YES,-15416.2441438
NW,2.0,73.0,203.789788365,41.0175834722,1.23766230672e+18,203.790541139,41.0176386143,23.61599,0.635762,21.39915,0.04776718,19.99545,0.02221024,19.52283,0.02253344,19.21165,0.07467189,0.221274,0.010548,,,,,,c203p83+41p0,1.0,0.24024,0.00012,0.499451426331,YES,3212.52748613
