tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NE,1.0,223.0,16.2376316929,0.0608396972222,5.88015509276e+17,16.23723991,0.06100216,23.277719,1.280746,20.950687,0.053058,19.381058,0.021261,18.76218,0.01998,18.580576,0.074303,0.285152,0.025079,,,,,,c16p23+0p06,0.0,0.26914,0.00019,0.0980185855875,NO,-402.043753121
NE,2.0,42.0,16.251590025,0.0826730305556,5.88015509276e+17,16.25187208,0.08261433,26.184013,1.008116,21.105944,0.061753,19.802155,0.030453,19.196697,0.029078,18.805613,0.090935,0.235363,0.035624,,,,,,c16p23+0p06,1.0,0.2766,0.00011,0.468439206723,YES,1353.11387614
NE,2.0,168.0,16.2426316926,0.0672008083333,5.88015509276e+17,16.24269869,0.06739715,25.530676,1.790006,21.154064,0.069458,19.750202,0.032943,19.153694,0.033808,18.545807,0.077173,0.278634,0.049968,,,,,,c16p23+0p06,1.0,0.30544,0.00026,0.228113541967,YES,8138.46857157
NE,2.0,216.0,16.2516316929,0.0620341416667,5.88015509276e+17,16.25202953,0.06241728,21.051352,0.249821,19.444992,0.020481,18.846342,0.018276,18.531755,0.022037,18.366333,0.085136,0.050839,0.028054,,,,,,c16p23+0p06,1.0,0.08264,0.00041,0.12014399915,YES,-44280.9844847
NE,2.0,220.0,16.2307150263,0.0602563638889,5.88015509276e+17,16.23069905,0.06009601,22.572563,1.608896,18.871084,0.02003,17.270252,0.008391605,16.647642,0.007804753,16.286087,0.022883,0.304458,0.022838,,,,,,c16p23+0p06,0.0,0.2715,0.00013,0.00015329229413,NO,153.207185895
NE,3.0,38.0,16.2445483583,0.0820896972222,5.88015509276e+17,16.24399591,0.08198321,22.273687,0.44643,21.554392,0.074033,19.951494,0.029633,19.344349,0.027943,18.952747,0.081123,0.340916,0.051902,,,,,,c16p23+0p06,1.0,0.35102,0.00012,0.456578691253,YES,18862.3405209
NE,3.0,106.0,16.2356316922,0.0735341416667,5.88015509276e+17,16.23560649,0.07309766,22.231554,0.662237,20.010864,0.030406,18.357464,0.012628,17.755489,0.011847,17.355759,0.032094,0.309916,0.017159,,,,,,c16p23+0p06,0.0,0.27878,0.0001,0.211827789307,YES,1866.01516727
NE,3.0,118.0,16.2306316923,0.0717563638889,5.88015509276e+17,16.23032074,0.07209334,22.13718,0.485312,21.098372,0.061085,19.489716,0.023678,18.901142,0.025653,18.4891,0.066719,0.323969,0.042585,,,,,,c16p23+0p06,0.0,0.27473,0.00015,0.181125025344,NO,913.148089717
NE,3.0,160.0,16.2275900259,0.066617475,5.88015509276e+17,16.22734718,0.06685065,21.56805,0.376771,19.767078,0.025678,18.189041,0.010947,17.629274,0.010516,17.220371,0.029373,0.277545,0.018324,1.11686640833e+17,16.227377,0.06683539,0.275801,0.000166744,c16p23+0p06,0.0,0.2747,0.00011,0.113852400519,NO,906.089815069
NW,1.0,156.0,16.2215483591,0.0694508083333,5.88015509276e+17,16.22110373,0.06972063,22.540241,0.602742,21.414999,0.071569,20.216341,0.037713,19.847948,0.044043,19.34778,0.12598,0.273344,0.085866,,,,,,c16p23+0p06,1.0,0.22341,0.00011,0.176097116528,YES,-11161.2070757
NW,2.0,173.0,16.2255483592,0.067117475,5.88015509276e+17,16.22590442,0.06744078,22.728172,0.681021,21.081306,0.051106,19.619493,0.022622,18.903837,0.019163,18.568748,0.059353,0.310907,0.058784,,,,,,c16p23+0p06,0.0,0.26294,0.00017,0.128319956999,NO,-1860.75384715
NW,3.0,187.0,16.225590026,0.0649785861111,5.88015509276e+17,16.2252146,0.06456228,22.17152,0.463099,20.927895,0.049052,19.348595,0.019833,18.766764,0.018842,18.313339,0.053218,0.299018,0.037888,,,,,,c16p23+0p06,1.0,0.329,0.00011,0.121012576634,YES,13681.5669289
